occupation,pct_emp_change_2020_2030
"Acupuncturists and healthcare diagnosing or treating practitioners, all other",4.7
Health technologists and technicians,9.3
Clinical laboratory technologists and technicians,10.9
Cardiovascular technologists and technicians,8.1
Diagnostic medical sonographers,19.0
Nuclear medicine technologists,7.8
Radiologic technologists and technicians,8.6
Magnetic resonance imaging technologists,8.1
Emergency medical technicians and paramedics,11.0
Health practitioner support technologists and technicians,8.0
Dietetic technicians,7.4
Pharmacy technicians,4.0
Psychiatric technicians,12.8
Surgical technologists,8.7
Veterinary technologists and technicians,14.9
Ophthalmic medical technicians,14.3
Licensed practical and licensed vocational nurses,9.3
"Opticians, dispensing",6.2
Orthotists and prosthetists,18.4
Hearing aid specialists,11.3
"Medical dosimetrists, medical records specialists, and health technologists and technicians, all other",8.5
Other healthcare practitioners and technical occupations,14.2
Athletic trainers,23.4
Genetic counselors,26.2
"Health information technologists, medical registrars, surgical assistants, and healthcare practitioners and technical workers, all other",10.5
Healthcare support occupations,23.1
"Home health and personal care aides; and nursing assistants, orderlies, and psychiatric aides",25.2
Home health and personal care aides,32.6
"Nursing assistants, orderlies, and psychiatric aides",8.2
Nursing assistants,8.3
Orderlies,7.2
Psychiatric aides,7.4
Occupational therapy and physical therapist assistants and aides,32.6
Occupational therapy assistants and aides,34.3
Occupational therapy assistants,36.1
Occupational therapy aides,21.4
Physical therapist assistants and aides,32.0
Physical therapist assistants,35.4
Physical therapist aides,25.3
Other healthcare support occupations,15.8
Massage therapists,32.2
Miscellaneous healthcare support occupations,14.3
Dental assistants,11.2
Medical assistants,18.4
Medical equipment preparers,8.4
Medical transcriptionists,-7.4
Pharmacy aides,-14.7
Veterinary assistants and laboratory animal caretakers,14.3
Phlebotomists,22.2
"Healthcare support workers, all other",10.5
Protective service occupations,8.4
Supervisors of protective service workers,6.3
First-line supervisors of law enforcement workers,3.8
First-line supervisors of correctional officers,-2.8
First-line supervisors of police and detectives,6.8
First-line supervisors of firefighting and prevention workers,8.2
"Miscellaneous first-line supervisors, protective service workers",10.2
Firefighting and prevention workers,8.6
Firefighters,8.5
Fire inspectors,11.5
Fire inspectors and investigators,8.9
Forest fire inspectors and prevention specialists,23.9
Law enforcement workers,1.5
"Bailiffs, correctional officers, and jailers",-6.8
Bailiffs,0.4
Correctional officers and jailers,-7.2
Detectives and criminal investigators,2.5
Fish and game wardens,0.2
Parking enforcement workers,-35.0
Police officers,7.2
Police and sheriff's patrol officers,7.2
Transit and railroad police,8.6
Other protective service workers,14.4
Animal control workers,10.5
Private detectives and investigators,13.2
Security guards and gambling surveillance officers,14.6
Gambling surveillance officers and gambling investigators,15.5
Security guards,14.6
Miscellaneous protective service workers,14.2
Crossing guards and flaggers,13.4
"Lifeguards, ski patrol, and other recreational protective service workers",24.5
Transportation security screeners,0.2
"School bus monitors and protective service workers, all other",11.2
Food preparation and serving related occupations,19.6
Supervisors of food preparation and serving workers,21.3
Chefs and head cooks,25.3
First-line supervisors of food preparation and serving workers,20.8
Cooks and food preparation workers,20.9
Cooks,26.1
"Cooks, fast food",-2.1
"Cooks, institution and cafeteria",6.8
"Cooks, private household",2.1
"Cooks, restaurant",48.9
"Cooks, short order",9.6
"Cooks, all other",14.0
Food preparation workers,6.4
Food and beverage serving workers,18.0
Bartenders,32.5
Fast food and counter workers,15.0
Waiters and waitresses,20.1
"Food servers, nonrestaurant",13.8
Other food preparation and serving related workers,23.4
Dining room and cafeteria attendants and bartender helpers,26.6
Dishwashers,19.0
"Hosts and hostesses, restaurant, lounge, and coffee shop",25.3
"Food preparation and serving related workers, all other",22.8
Building and grounds cleaning and maintenance occupations,7.5
Supervisors of building and grounds cleaning and maintenance workers,5.1
First-line supervisors of housekeeping and janitorial workers,5.9
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",4.0
Building cleaning and pest control workers,7.7
Building cleaning workers,7.7
"Janitors and cleaners, except maids and housekeeping cleaners",5.7
Maids and housekeeping cleaners,11.3
"Building cleaning workers, all other",3.5
Pest control workers,9.5
Grounds maintenance workers,7.6
Landscaping and groundskeeping workers,7.6
"Pesticide handlers, sprayers, and applicators, vegetation",8.3
Tree trimmers and pruners,6.1
"Grounds maintenance workers, all other",8.6
Personal care and service occupations,21.7
Supervisors of personal care and service workers,23.9
First-line supervisors of gambling services workers,21.4
"First-line supervisors of personal service and entertainment and recreation workers, except gambling services",24.2
Animal care and service workers,33.3
Animal trainers,28.5
Animal caretakers,34.4
Entertainment attendants and related workers,36.2
Gambling services workers,24.7
Gambling dealers,24.0
Gambling and sports book writers and runners,28.5
"Gambling service workers, all other",27.2
Motion picture projectionists,70.5
"Ushers, lobby attendants, and ticket takers",61.8
Miscellaneous entertainment attendants and related workers,32.3
Amusement and recreation attendants,32.3
Costume attendants,44.3
"Locker room, coatroom, and dressing room attendants",26.3
"Entertainment attendants and related workers, all other",35.4
Embalmers,-0.6
Funeral attendants,3.3
"Morticians, undertakers, and funeral arrangers",4.1
Personal appearance workers,22.2
"Barbers, hairdressers, hairstylists and cosmetologists",19.2
Barbers,17.5
"Hairdressers, hairstylists, and cosmetologists",19.4
Miscellaneous personal appearance workers,31.2
"Makeup artists, theatrical and performance",37.0
Manicurists and pedicurists,32.6
Shampooers,29.8
Skincare specialists,28.8
"Baggage porters, bellhops, and concierges",22.0
Baggage porters and bellhops,24.5
Concierges,20.0
Tour and travel guides,29.1
Tour and travel guides,29.1
Childcare workers,8.5
Recreation and fitness workers,27.0
Exercise trainers and group fitness instructors,39.3
Recreation workers,16.3
Residential advisors,12.4
"Crematory operators and personal care and service workers, all other",24.8
Sales and related occupations,-1.4
Supervisors of sales workers,-6.2
First-line supervisors of retail sales workers,-6.5
First-line supervisors of non-retail sales workers,-5.0
Retail sales workers,-4.2
Cashiers,-9.8
Cashiers,-10.0
Gambling change persons and booth cashiers,18.1
Counter and rental clerks and parts salespersons,6.7
Counter and rental clerks,7.9
Parts salespersons,4.9
Retail salespersons,-1.0
"Sales representatives, services",7.4
Advertising sales agents,3.1
Insurance sales agents,7.0
"Securities, commodities, and financial services sales agents",4.2
Travel agents,5.4
"Sales representatives of services, except advertising, insurance, financial services, and travel",9.8
"Sales representatives, wholesale and manufacturing",4.8
"Sales representatives, wholesale and manufacturing, technical and scientific products",6.1
"Sales representatives, wholesale and manufacturing, except technical and scientific products",4.5
Other sales and related workers,0.1
"Models, demonstrators, and product promoters",7.5
Demonstrators and product promoters,7.3
Models,11.4
Real estate brokers and sales agents,4.2
Real estate brokers,4.5
Real estate sales agents,4.1
Sales engineers,7.9
Telemarketers,-18.3
Miscellaneous sales and related workers,-4.5
"Door-to-door sales workers, news and street vendors, and related workers",-24.1
"Sales and related workers, all other",1.7
Office and administrative support occupations,-2.8
Supervisors of office and administrative support workers,-1.5
First-line supervisors of office and administrative support workers,-1.5
Communications equipment operators,-20.6
"Switchboard operators, including answering service",-22.7
Telephone operators,-25.4
"Communications equipment operators, all other",13.8
Financial clerks,-4.9
Bill and account collectors,-9.2
Billing and posting clerks,2.9
"Bookkeeping, accounting, and auditing clerks",-3.0
Gambling cage workers,19.5
Payroll and timekeeping clerks,-12.9
Procurement clerks,-5.1
Tellers,-16.9
"Financial clerks, all other",7.5
Information and record clerks,0.2
Brokerage clerks,-9.8
Correspondence clerks,-2.9
"Court, municipal, and license clerks",5.8
"Credit authorizers, checkers, and clerks",-4.8
Customer service representatives,-1.2
"Eligibility interviewers, government programs",3.8
File clerks,-12.6
"Hotel, motel, and resort desk clerks",16.4
"Interviewers, except eligibility and loan",-6.5
"Library assistants, clerical",-0.6
Loan interviewers and clerks,-2.4
New accounts clerks,-16.7
Order clerks,-18.2
"Human resources assistants, except payroll and timekeeping",-2.9
Receptionists and information clerks,4.3
Reservation and transportation ticket agents and travel clerks,12.9
"Information and record clerks, all other",5.1
"Material recording, scheduling, dispatching, and distributing workers",-1.7
Cargo and freight agents,9.9
Couriers and messengers,-8.2
Dispatchers,5.6
Public safety telecommunicators,8.2
"Dispatchers, except police, fire, and ambulance",4.3
"Meter readers, utilities",-8.6
Postal service workers,-8.6
Postal service clerks,-7.8
Postal service mail carriers,-7.8
"Postal service mail sorters, processors, and processing machine operators",-12.2
"Production, planning, and expediting clerks",7.6
"Shipping, receiving, and inventory clerks",-5.5
"Weighers, measurers, checkers, and samplers, recordkeeping",10.7
Secretaries and administrative assistants,-6.7
Executive secretaries and executive administrative assistants,-18.7
Legal secretaries and administrative assistants,-21.0
Medical secretaries and administrative assistants,10.6
"Secretaries and administrative assistants, except legal, medical, and executive",-7.6
Other office and administrative support workers,-2.8
Data entry and information processing workers,-25.5
Data entry keyers,-22.5
Word processors and typists,-36.0
Desktop publishers,-12.3
Insurance claims and policy processing clerks,1.4
"Mail clerks and mail machine operators, except postal service",-4.2
"Office clerks, general",-2.1
"Office machine operators, except computer",-13.5
Proofreaders and copy markers,5.3
Statistical assistants,7.9
"Office and administrative support workers, all other",6.6
"Farming, fishing, and forestry occupations",2.5
"Supervisors of farming, fishing, and forestry workers",8.7
"First-line supervisors of farming, fishing, and forestry workers",8.7
Agricultural workers,1.8
Agricultural inspectors,9.1
Animal breeders,-3.2
"Graders and sorters, agricultural products",-1.4
Miscellaneous agricultural workers,1.8
Agricultural equipment operators,12.9
"Farmworkers and laborers, crop, nursery, and greenhouse",5.3
"Farmworkers, farm, ranch, and aquacultural animals",-8.3
"Agricultural workers, all other",4.9
Fishing and hunting workers,10.6
Fishing and hunting workers,10.6
"Forest, conservation, and logging workers",3.5
Forest and conservation workers,-8.0
Logging workers,6.7
Fallers,-1.3
Logging equipment operators,8.1
Log graders and scalers,7.7
"Logging workers, all other",6.3
Construction and extraction occupations,5.7
Supervisors of construction and extraction workers,6.2
First-line supervisors of construction trades and extraction workers,6.2
Construction trades workers,5.5
Boilermakers,-1.0
"Brickmasons, blockmasons, and stonemasons",-4.6
Brickmasons and blockmasons,-5.3
Stonemasons,-1.4
Carpenters,2.1
"Carpet, floor, and tile installers and finishers",6.4
Carpet installers,-5.9
"Floor layers, except carpet, wood, and hard tiles",12.3
Floor sanders and finishers,4.5
Tile and stone setters,11.5
"Cement masons, concrete finishers, and terrazzo workers",-1.1
Cement masons and concrete finishers,-1.0
Terrazzo workers and finishers,-8.5
Construction laborers,8.0
Construction equipment operators,5.4
"Paving, surfacing, and tamping equipment operators",5.6
Pile driver operators,4.8
Operating engineers and other construction equipment operators,5.4
"Drywall installers, ceiling tile installers, and tapers",4.3
Drywall and ceiling tile installers,4.9
Tapers,0.5
Electricians,9.1
Glaziers,4.7
Insulation workers,5.0
"Insulation workers, floor, ceiling, and wall",4.9
"Insulation workers, mechanical",5.1
Painters and paperhangers,5.2
"Painters, construction and maintenance",5.2
Paperhangers,6.4
"Pipelayers, plumbers, pipefitters, and steamfitters",4.5
Pipelayers,-1.5
"Plumbers, pipefitters, and steamfitters",5.0
Plasterers and stucco masons,6.8
Reinforcing iron and rebar workers,5.3
Roofers,4.6
Sheet metal workers,3.6
Structural iron and steel workers,5.9
Solar photovoltaic installers,52.1
"Helpers, construction trades",2.6
"Helpers--brickmasons, blockmasons, stonemasons, and tile and marble setters",-3.9
Helpers--carpenters,0.7
Helpers--electricians,0.9
"Helpers--painters, paperhangers, plasterers, and stucco masons",6.8
"Helpers--pipelayers, plumbers, pipefitters, and steamfitters",5.6
Helpers--roofers,4.8
"Helpers, construction trades, all other",5.9
Other construction and related workers,4.1
Construction and building inspectors,-2.9
Elevator and escalator installers and repairers,6.1
Fence erectors,4.3
Hazardous materials removal workers,6.6
Highway maintenance workers,6.0
Rail-track laying and maintenance equipment operators,5.3
Septic tank servicers and sewer pipe cleaners,14.3
Miscellaneous construction and related workers,8.1
Extraction workers,16.9
"Derrick, rotary drill, and service unit operators, oil and gas",24.6
"Derrick operators, oil and gas",29.7
"Rotary drill operators, oil and gas",26.4
"Service unit operators, oil and gas",22.9
"Excavating and loading machine and dragline operators, surface mining",4.5
Continuous mining machine operators,5.7
"Roof bolters, mining",-6.9
"Loading and moving machine operators, underground mining",-5.5
"Rock splitters, quarry",6.0
"Roustabouts, oil and gas",29.5
Helpers--extraction workers,23.0
"Earth drillers, except oil and gas; and explosives workers, ordnance handling experts, and blasters",8.0
"Underground mining machine operators and extraction workers, all other",10.2
"Installation, maintenance, and repair occupations",6.7
"Supervisors of installation, maintenance, and repair workers",6.6
"First-line supervisors of mechanics, installers, and repairers",6.6
"Electrical and electronic equipment mechanics, installers, and repairers",2.0
"Computer, automated teller, and office machine repairers",-2.2
Radio and telecommunications equipment installers and repairers,-0.8
"Radio, cellular, and tower equipment installers and repairers",3.9
"Telecommunications equipment installers and repairers, except line installers",-1.1
"Miscellaneous electrical and electronic equipment mechanics, installers, and repairers",6.3
Avionics technicians,9.7
"Electric motor, power tool, and related repairers",6.9
"Electrical and electronics installers and repairers, transportation equipment",6.7
"Electrical and electronics repairers, commercial and industrial equipment",4.5
"Electrical and electronics repairers, powerhouse, substation, and relay",-2.4
"Electronic equipment installers and repairers, motor vehicles",-16.2
Audiovisual equipment installers and repairers,-3.8
Security and fire alarm systems installers,16.4
"Vehicle and mobile equipment mechanics, installers, and repairers",5.0
Aircraft mechanics and service technicians,11.8
Automotive technicians and repairers,1.4
Automotive body and related repairers,5.3
Automotive glass installers and repairers,8.8
Automotive service technicians and mechanics,0.3
Bus and truck mechanics and diesel engine specialists,7.8
Heavy vehicle and mobile equipment service technicians and mechanics,11.0
Farm equipment mechanics and service technicians,11.1
"Mobile heavy equipment mechanics, except engines",11.7
Rail car repairers,5.2
Small engine mechanics,9.4
Motorboat mechanics and service technicians,13.3
Motorcycle mechanics,9.6
Outdoor power equipment and other small engine mechanics,6.7
"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",3.8
Bicycle repairers,3.7
Recreational vehicle service technicians,17.2
Tire repairers and changers,1.8
"Other installation, maintenance, and repair occupations",8.5
Control and valve installers and repairers,5.3
Mechanical door repairers,12.2
"Control and valve installers and repairers, except mechanical door",2.3
"Heating, air conditioning, and refrigeration mechanics and installers",5.0
Home appliance repairers,-3.6
"Industrial machinery installation, repair, and maintenance workers",18.9
Industrial machinery mechanics,21.3
"Maintenance workers, machinery",10.7
Millwrights,10.3
"Refractory materials repairers, except brickmasons",-14.5
Line installers and repairers,0.3
Electrical power-line installers and repairers,1.3
Telecommunications line installers and repairers,-0.7
Precision instrument and equipment repairers,4.8
Camera and photographic equipment repairers,8.0
