Occupation,Job Zone,Active_Learning_Importance,Active_Learning_Level,Critical_Thinking_Importance,Critical_Thinking_Level,Learning_Strategies_Importance,Learning_Strategies_Level,Monitoring_Importance,Monitoring_Level,Active_Listening_Importance,Active_Listening_Level,Mathematics_Importance,Mathematics_Level,Programming_Importance,Programming_Level,Reading_Comprehension_Importance,Reading_Comprehension_Level,Science_Importance,Science_Level,Speaking_Importance,Speaking_Level,Writing_Importance,Writing_Level
"Environmental Science Teachers, Postsecondary",5,72,61,75,61,75,61,72,57,75,61,50,46,10,5,78,71,75,64,78,64,75,68
"Family and Consumer Sciences Teachers, Postsecondary",5,66,59,69,57,75,61,63,57,75,61,41,41,19,11,75,66,31,32,78,68,66,59
Health Informatics Specialists,4,69,68,72,61,72,55,69,57,75,61,47,41,44,45,81,70,28,27,75,59,75,57
Interpreters and Translators,4,53,43,66,55,50,45,66,54,75,61,25,18,3,Not relevant,72,57,3,Not relevant,78,57,69,57
"Medical Scientists, Except Epidemiologists",5,78,71,75,68,60,55,66,59,75,61,66,59,25,23,75,75,78,71,78,63,81,70
Microsystems Engineers,5,63,55,75,59,56,48,66,54,75,61,60,55,41,36,75,68,66,55,66,57,69,57
Orthotists and Prosthetists,5,69,61,75,59,50,50,56,52,75,61,50,45,16,11,78,63,44,46,75,59,75,59
Pharmacists,5,66,55,72,63,50,50,72,61,75,61,60,48,16,11,78,70,69,54,72,59,72,57
Registered Nurses,4,63,59,75,59,56,52,69,57,75,61,47,45,16,9,72,61,47,41,75,61,69,55
Actuaries,4,60,59,81,68,50,50,53,52,75,59,81,70,38,39,78,66,28,29,72,57,60,57
Adapted Physical Education Specialists,5,75,55,72,55,72,57,72,55,75,59,25,29,6,Not relevant,72,57,13,13,75,57,72,55
"Art, Drama, and Music Teachers, Postsecondary",5,75,61,66,55,78,61,69,55,75,59,25,30,10,5,75,66,19,16,91,68,72,59
Astronomers,5,75,68,78,61,63,54,60,55,75,59,75,71,31,30,81,73,81,71,72,70,75,71
Biologists,5,72,66,75,64,53,52,60,54,75,59,69,61,44,52,75,71,91,71,75,64,75,70
"Business Teachers, Postsecondary",5,72,63,72,63,75,68,66,57,75,59,50,46,22,18,75,71,22,20,81,70,75,71
"Career/Technical Education Teachers, Secondary School",4,66,54,72,55,72,57,72,57,75,59,47,45,19,14,75,59,19,13,75,59,72,55
Chiropractors,5,60,55,72,59,47,45,53,48,75,59,35,36,13,7,72,64,60,54,72,55,69,55
Compensation and Benefits Managers,4,69,54,72,57,50,43,63,48,75,59,47,41,13,9,75,57,3,Not relevant,75,57,69,57
Dermatologists,5,69,55,78,61,53,46,63,55,75,59,31,36,22,16,72,70,66,54,72,57,63,57
"Economics Teachers, Postsecondary",5,69,59,72,59,72,57,50,52,75,59,56,54,22,20,75,63,35,41,78,61,75,59
"Engineering Teachers, Postsecondary",5,66,59,72,59,78,61,60,59,75,59,72,64,25,23,75,70,63,52,78,70,72,68
Environmental Engineers,4,69,59,75,61,53,45,72,61,75,59,60,57,19,16,75,66,53,52,72,61,75,59
"Environmental Scientists and Specialists, Including Health",4,66,57,75,59,50,55,63,59,75,59,60,59,25,37,75,71,72,66,72,63,72,64
Financial Examiners,4,66,59,78,64,60,55,72,61,75,59,66,55,16,14,78,61,6,Not relevant,75,59,75,57
"Fraud Examiners, Investigators and Analysts",4,72,50,75,59,50,43,60,45,75,59,47,43,19,14,75,61,6,Not relevant,75,57,78,59
Fundraisers,4,56,50,72,57,47,43,53,50,75,59,50,43,13,7,75,57,10,5,78,63,75,59
"History Teachers, Postsecondary",5,72,57,72,55,78,61,66,57,75,59,25,29,6,Not relevant,81,68,22,25,88,68,78,68
Industrial Engineers,4,56,55,75,59,44,43,60,61,75,59,56,55,22,16,75,64,28,25,72,59,69,59
Investment Fund Managers,5,69,55,75,57,47,45,63,57,75,59,60,52,19,Not available,75,61,0,Not relevant,72,59,66,55
Logistics Engineers,4,69,55,72,61,50,50,56,55,75,59,72,57,41,32,78,63,38,41,69,57,75,59
Materials Engineers,4,56,64,72,61,50,52,53,55,75,59,69,57,22,25,75,68,75,68,69,59,69,63
Materials Scientists,5,72,57,78,59,53,48,60,59,75,59,60,57,22,14,78,70,78,71,72,61,72,61
Orthoptists,5,56,55,75,57,56,55,53,54,75,59,44,43,19,11,66,66,66,54,72,57,63,57
Physical Therapists,5,53,46,75,55,53,45,72,55,75,59,28,37,16,13,75,63,41,39,75,59,72,57
Physician Assistants,5,72,59,78,66,53,48,72,57,75,59,50,43,22,16,78,68,66,55,75,57,75,57
Range Managers,4,56,52,69,57,44,43,66,61,75,59,47,46,13,9,72,59,47,48,69,57,56,57
Rehabilitation Counselors,4,53,46,66,55,53,54,72,59,75,59,25,29,13,7,69,57,31,29,75,57,66,57
"Secondary School Teachers, Except Special and Career/Technical Education",4,66,54,72,55,75,63,72,59,75,59,47,43,19,11,75,59,25,25,78,59,69,55
"Social Work Teachers, Postsecondary",5,75,70,75,61,81,70,69,55,75,59,41,37,19,14,75,70,41,37,91,70,75,68
"Sociology Teachers, Postsecondary",5,66,63,69,59,75,70,69,55,75,59,28,46,13,7,75,70,44,54,91,68,75,68
"Special Education Teachers, Preschool",5,66,54,72,55,69,57,69,57,75,59,31,30,19,14,72,59,25,21,78,61,69,57
Survey Researchers,5,60,57,78,61,50,48,50,52,75,59,63,61,31,32,75,61,44,39,75,59,75,59
Fire Inspectors and Investigators,3,55,52,74,58,49,43,56,49,75,58,42,40,17,13,63,58,50,46,72,56,64,54
Administrative Services Managers,3,53,48,69,55,50,46,60,52,75,57,31,30,10,9,75,57,0,Not relevant,72,55,69,54
"Agents and Business Managers of Artists, Performers, and Athletes",4,63,50,69,54,41,39,47,43,75,57,28,29,13,7,75,57,16,9,75,57,66,55
Agricultural Engineers,4,56,55,78,61,47,45,53,54,75,57,72,57,28,23,75,66,60,48,72,57,72,61
Airfield Operations Specialists,3,56,46,69,55,50,45,75,59,75,57,28,30,10,5,69,57,16,11,69,55,60,46
Architectural and Engineering Managers,5,72,55,72,61,56,45,69,57,75,57,72,61,22,16,78,63,41,39,75,57,75,59
Art Directors,4,60,54,69,57,50,46,56,54,75,57,35,41,16,13,69,55,10,5,75,57,56,57
Art Therapists,5,69,55,72,57,53,55,72,57,75,57,28,30,22,13,72,57,25,25,75,59,66,57
Athletic Trainers,5,69,57,72,59,53,55,72,59,75,57,28,30,6,Not relevant,69,55,35,27,72,57,63,55
Broadcast Announcers and Radio Disc Jockeys,4,56,46,69,55,28,34,56,48,75,57,22,18,6,Not relevant,75,55,0,Not relevant,91,63,56,57
Budget Analysts,4,56,48,69,55,47,39,53,48,75,57,69,50,22,16,72,57,6,Not relevant,69,48,56,54
"Career/Technical Education Teachers, Middle School",4,63,50,72,55,75,57,72,54,75,57,38,34,19,11,75,59,22,20,78,57,66,52
"Career/Technical Education Teachers, Postsecondary",3,72,57,69,54,75,57,66,57,75,57,31,32,13,9,72,55,22,14,72,57,66,57
"Chemistry Teachers, Postsecondary",5,75,57,75,57,75,57,75,57,75,57,56,54,22,16,78,71,75,61,78,71,78,70
Chief Sustainability Officers,5,69,55,78,59,60,54,69,57,75,57,47,45,22,16,75,61,28,27,75,59,78,61
Civil Engineers,4,56,66,72,66,47,52,56,55,75,57,72,68,22,27,72,71,69,57,72,55,56,55
Clinical Research Coordinators,4,60,57,69,57,53,48,66,54,75,57,47,43,16,13,75,61,50,43,72,57,75,57
Coaches and Scouts,4,72,57,75,57,78,57,78,68,75,57,28,29,6,Not relevant,75,57,16,16,85,57,66,57
Commercial and Industrial Designers,4,50,57,69,57,44,41,53,54,75,57,44,50,22,21,72,59,41,39,63,57,53,55
Compliance Officers,3,56,43,66,55,41,39,53,46,75,57,35,32,19,16,72,57,0,Not relevant,72,57,63,54
Computer and Information Systems Managers,4,60,55,78,57,56,50,72,63,75,57,53,45,44,37,75,57,19,20,72,55,69,57
Computer Systems Engineers/Architects,4,69,57,78,55,50,46,63,54,75,57,53,46,60,59,78,61,53,50,69,55,72,57
Computer User Support Specialists,3,53,46,69,57,47,45,50,45,75,57,31,30,28,30,75,57,19,21,75,57,66,45
Critical Care Nurses,4,72,57,75,59,50,52,78,57,75,57,47,41,19,13,75,57,50,45,75,57,60,57
Customs and Border Protection Officers,3,60,45,75,55,41,41,66,54,75,57,31,30,13,7,72,55,22,16,75,57,66,54
Customs Brokers,3,56,52,69,55,53,43,56,52,75,57,50,43,22,20,72,57,0,Not relevant,69,57,69,55
"Dentists, General",5,72,64,78,63,53,54,75,57,75,57,44,43,16,11,75,71,69,54,75,57,56,57
Dietitians and Nutritionists,5,66,59,75,59,69,59,72,59,75,57,50,43,19,14,75,70,56,52,75,59,72,61
Economists,5,72,57,78,64,53,50,53,52,75,57,78,61,25,25,78,68,25,32,75,61,75,61
"Education and Childcare Administrators, Preschool and Daycare",4,63,55,75,57,66,55,75,59,75,57,47,41,13,9,75,59,13,11,75,57,69,57
"Elementary School Teachers, Except Special Education",4,69,55,75,57,78,64,72,61,75,57,47,39,13,7,75,57,28,25,81,57,72,55
Emergency Management Directors,4,69,63,75,63,66,55,75,63,75,57,50,45,16,9,75,61,28,23,78,61,75,61
"Environmental Science and Protection Technicians, Including Health",4,53,45,72,54,50,45,56,55,75,57,53,45,19,16,72,57,66,48,69,54,66,55
Executive Secretaries and Executive Administrative Assistants,3,53,45,56,54,47,43,53,52,75,57,44,32,22,18,75,57,10,5,72,55,69,54
Exercise Physiologists,4,56,55,75,57,56,54,69,57,75,57,47,43,22,16,75,64,47,43,75,59,72,57
Financial Managers,4,69,57,75,57,63,57,75,64,75,57,56,48,10,5,75,57,10,5,75,57,72,57
First-Line Supervisors of Correctional Officers,3,56,46,75,57,53,45,75,61,75,57,28,29,13,7,69,57,13,7,72,57,63,52
First-Line Supervisors of Non-Retail Sales Workers,4,63,52,66,55,56,52,75,61,75,57,50,43,13,9,66,59,0,Not relevant,75,57,66,57
Food Scientists and Technologists,4,69,55,72,61,50,43,72,55,75,57,53,45,16,13,75,61,60,48,72,57,75,57
General and Operations Managers,4,63,52,72,57,50,46,75,57,75,57,35,36,13,9,72,57,22,16,75,57,56,55
Genetic Counselors,5,72,55,72,59,50,46,50,43,75,57,44,39,10,7,78,68,56,45,72,55,72,61
Geneticists,5,75,59,75,63,72,55,69,55,75,57,72,57,22,16,81,71,78,63,75,59,75,70
"Geography Teachers, Postsecondary",5,72,59,72,57,72,55,53,55,75,57,44,43,25,20,75,68,53,50,78,70,78,70
Historians,5,69,54,78,59,50,52,50,45,75,57,19,16,6,Not relevant,94,70,41,37,72,59,75,70
"Human Resources Assistants, Except Payroll and Timekeeping",3,50,45,60,52,38,41,60,50,75,57,25,29,19,11,75,57,3,Not relevant,69,54,63,52
Human Resources Specialists,4,56,48,72,57,50,46,50,54,75,57,25,29,16,9,75,57,3,Not relevant,78,57,72,57
Industrial Ecologists,5,66,57,72,61,50,50,53,55,75,57,60,57,25,29,78,68,66,59,75,57,75,66
Information Technology Project Managers,4,60,55,78,61,50,46,66,64,75,57,47,45,31,23,75,57,28,21,72,57,75,57
Interior Designers,4,53,46,75,57,47,37,53,48,75,57,50,45,19,13,75,55,10,7,75,57,66,54
"Interviewers, Except Eligibility and Loan",3,47,43,56,46,47,41,50,45,75,57,31,30,22,16,63,52,0,Not relevant,72,57,56,48
"Kindergarten Teachers, Except Special Education",4,56,45,56,54,75,55,75,57,75,57,31,32,6,Not relevant,72,54,10,7,75,46,56,46
Landscape Architects,4,69,54,72,55,47,43,50,50,75,57,50,45,13,11,75,57,38,41,72,57,69,55
Loan Officers,4,53,45,69,57,44,37,47,43,75,57,56,45,16,13,72,57,0,Not relevant,75,57,60,55
Loss Prevention Managers,4,69,54,72,57,56,46,72,57,75,57,44,39,16,11,75,57,0,Not relevant,75,57,69,55
"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",5,69,55,63,55,75,55,69,57,75,57,28,27,10,7,72,57,25,20,75,57,69,57
"Mathematical Science Teachers, Postsecondary",5,69,59,72,59,72,61,72,57,75,57,81,70,19,13,75,70,35,32,78,63,72,68
Media Programming Directors,4,75,55,81,57,53,46,66,54,75,57,25,34,10,5,78,57,16,9,78,57,72,57
Media Technical Directors/Managers,4,60,52,72,57,56,50,75,66,75,57,28,32,19,16,66,57,3,Not relevant,75,57,60,50
Medical and Health Services Managers,5,72,57,78,57,53,54,66,57,75,57,44,41,19,14,75,59,44,45,81,57,75,57
"Meeting, Convention, and Event Planners",4,60,45,72,55,35,41,63,54,75,57,38,36,10,5,75,57,6,Not relevant,75,57,63,52
Microbiologists,5,72,64,75,64,66,55,69,55,75,57,50,55,25,30,78,75,88,71,72,57,78,68
"Middle School Teachers, Except Special and Career/Technical Education",4,69,55,66,52,75,57,72,57,75,57,50,43,10,9,75,57,16,13,78,57,75,57
"Morticians, Undertakers, and Funeral Arrangers",3,53,46,56,55,47,41,53,54,75,57,47,37,10,7,56,55,22,25,72,57,56,57
New Accounts Clerks,3,44,37,53,50,38,30,53,43,75,57,47,43,16,11,63,52,0,Not relevant,75,55,50,43
Nuclear Technicians,3,50,45,72,52,41,36,75,57,75,57,47,48,16,11,66,57,50,45,69,52,53,43
Nurse Anesthetists,5,75,57,78,57,60,50,75,57,75,57,56,46,6,Not relevant,78,61,72,55,75,57,60,50
Operations Research Analysts,5,72,59,78,63,50,45,47,43,75,57,88,68,38,39,75,63,53,45,72,57,75,57
Personal Financial Advisors,4,60,46,72,59,47,43,53,52,75,57,60,55,19,14,75,57,22,18,75,57,75,57
Physical Therapist Assistants,3,56,45,56,55,47,45,69,55,75,57,31,29,19,14,56,55,35,30,69,55,56,45
Police and Sheriff's Patrol Officers,3,58,46,75,56,47,43,64,49,75,57,25,26,8,Not relevant,64,55,17,12,75,56,58,47
"Political Science Teachers, Postsecondary",5,75,57,72,59,72,57,50,52,75,57,25,30,6,Not relevant,78,70,35,32,91,71,75,70
