,occupation,onet_included,onet_bls_name,AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
10,"Buyers and Purchasing Agents, Farm Products",1.0,Buyers and Purchasing Agents,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,13-1020,Buyers and Purchasing Agents,detailed,439020.0,0.6,,,,,34.88,72540,0.3,18.48,23.63,30.51,42.22,53.46,38430,49150,63470,87820,111200,,
11,Cost Estimators,1.0,Cost Estimators,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,13-1051,Cost Estimators,detailed,208950.0,1.1,,,,,35.45,73740,0.5,18.69,23.85,31.33,42.89,55.62,38880,49600,65170,89210,115690,,
12,Training and Development Specialists,1.0,Training and Development Specialists,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,13-1151,Training and Development Specialists,detailed,336030.0,1.0,,,,,32.51,67620,0.6,15.07,22.62,29.6,38.71,49.64,31340,47040,61570,80510,103240,,
13,"Architects, Except Landscape and Naval",1.0,"Architects, Except Landscape and Naval",99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,17-1011,"Architects, Except Landscape and Naval",detailed,100400.0,1.5,,,,,44.19,91900,0.9,23.52,30.05,38.55,49.12,62.49,48930,62500,80180,102160,129980,,
14,Civil Engineers,1.0,Civil Engineers,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,17-2051,Civil Engineers,detailed,304310.0,1.3,,,,,45.91,95490,0.5,29.11,35.7,42.33,56.38,64.1,60550,74250,88050,117270,133320,,
15,Biologists,1.0,Biological Scientists,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Bioinformatics Scientists,1.0,Biological Scientists,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Molecular and Cellular Biologists,1.0,Biological Scientists,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Foresters,1.0,Foresters,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,19-1032,Foresters,detailed,9500.0,5.6,,,,,32.56,67710,2,20.81,24.28,30.82,38.23,47.28,43280,50510,64110,79530,98330,,
19,Urban and Regional Planners,1.0,Urban and Regional Planners,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,19-3051,Urban and Regional Planners,detailed,38940.0,1.7,,,,,39.09,81310,1.1,23.42,29.75,37.74,47.64,57.38,48720,61880,78500,99090,119340,,
20,Water Resource Specialists,1.0,Urban and Regional Planners,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,19-3051,Urban and Regional Planners,detailed,38940.0,1.7,,,,,39.09,81310,1.1,23.42,29.75,37.74,47.64,57.38,48720,61880,78500,99090,119340,,
21,Brownfield Redevelopment Specialists and Site Managers,1.0,Urban and Regional Planners,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,19-3051,Urban and Regional Planners,detailed,38940.0,1.7,,,,,39.09,81310,1.1,23.42,29.75,37.74,47.64,57.38,48720,61880,78500,99090,119340,,
22,Environmental Restoration Planners,1.0,Urban and Regional Planners,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,19-3051,Urban and Regional Planners,detailed,38940.0,1.7,,,,,39.09,81310,1.1,23.42,29.75,37.74,47.64,57.38,48720,61880,78500,99090,119340,,
23,Transportation Planners,1.0,Urban and Regional Planners,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,19-3051,Urban and Regional Planners,detailed,38940.0,1.7,,,,,39.09,81310,1.1,23.42,29.75,37.74,47.64,57.38,48720,61880,78500,99090,119340,,
24,"Child, Family, and School Social Workers",1.0,"Child, Family, and School Social Workers",99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,21-1021,"Child, Family, and School Social Workers",detailed,340050.0,1.1,,,,,26.39,54880,0.4,17.22,18.7,23.63,30.08,37.84,35820,38900,49150,62560,78710,,
25,Healthcare Social Workers,1.0,Healthcare Social Workers,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,21-1022,Healthcare Social Workers,detailed,173860.0,1.2,,,,,29.96,62310,0.5,18.09,22.9,29.25,36.98,41.74,37630,47630,60840,76920,86820,,
26,Patient Representatives,1.0,Healthcare Social Workers,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,21-1022,Healthcare Social Workers,detailed,173860.0,1.2,,,,,29.96,62310,0.5,18.09,22.9,29.25,36.98,41.74,37630,47630,60840,76920,86820,,
27,Mental Health and Substance Abuse Social Workers,1.0,Mental Health and Substance Abuse Social Workers,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,21-1023,Mental Health and Substance Abuse Social Workers,detailed,113810.0,1.5,,,,,27.79,57800,0.9,14.91,18.57,23.62,33.3,46.78,31010,38630,49130,69260,97300,,
28,Art Directors,1.0,Art Directors,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,27-1011,Art Directors,detailed,42080.0,2.6,,,,,55.5,115430,1.9,27.51,37.26,48.51,65.07,93.33,57220,77490,100890,135350,194130,,
29,Graphic Designers,1.0,Graphic Designers,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,27-1024,Graphic Designers,detailed,204040.0,1.3,,,,,28.83,59970,1,15.06,18.88,24.38,35.92,47.24,31310,39270,50710,74700,98260,,
30,Dietitians and Nutritionists,1.0,Dietitians and Nutritionists,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,29-1031,Dietitians and Nutritionists,detailed,66690.0,1.6,,,,,31.55,65620,0.7,20.45,23.8,29.64,37.22,45.02,42530,49490,61650,77430,93640,,
31,Optometrists,1.0,Optometrists,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,29-1041,Optometrists,detailed,38720.0,3.6,,,,,60.31,125440,1.2,29.61,46.27,59.76,68.14,92.5,61590,96230,124300,141730,192390,,
32,Occupational Therapists,1.0,Occupational Therapists,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,29-1122,Occupational Therapists,detailed,127830.0,1.3,,,,,43.02,89470,0.8,29.17,36.4,41.14,48.31,59.54,60680,75710,85570,100490,123840,,
33,Physical Therapists,1.0,Physical Therapists,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,29-1123,Physical Therapists,detailed,225350.0,1.0,,,,,44.67,92920,0.4,29.77,37.38,45.97,49,61.11,61930,77750,95620,101920,127110,,
34,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",1.0,Physical Therapists,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,29-1123,Physical Therapists,detailed,225350.0,1.0,,,,,44.67,92920,0.4,29.77,37.38,45.97,49,61.11,61930,77750,95620,101920,127110,,
35,Recreational Therapists,1.0,Recreational Therapists,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,29-1125,Recreational Therapists,detailed,16980.0,2.5,,,,,25.91,53900,0.9,15.25,18.2,23.05,29.55,38.75,31710,37850,47940,61470,80610,,
36,Art Therapists,1.0,Recreational Therapists,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,29-1125,Recreational Therapists,detailed,16980.0,2.5,,,,,25.91,53900,0.9,15.25,18.2,23.05,29.55,38.75,31710,37850,47940,61470,80610,,
37,Music Therapists,1.0,Recreational Therapists,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,29-1125,Recreational Therapists,detailed,16980.0,2.5,,,,,25.91,53900,0.9,15.25,18.2,23.05,29.55,38.75,31710,37850,47940,61470,80610,,
38,Respiratory Therapists,1.0,Respiratory Therapists,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,29-1126,Respiratory Therapists,detailed,133410.0,0.7,,,,,32.78,68190,0.2,22.78,28.5,29.73,37.13,45.93,47380,59280,61830,77240,95540,,
39,Dental Hygienists,1.0,Dental Hygienists,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,29-1292,Dental Hygienists,detailed,207190.0,2.1,,,,,39.12,81360,0.6,28.9,35.36,37.41,47.24,48.18,60100,73540,77810,98260,100200,,
40,Diagnostic Medical Sonographers,1.0,Diagnostic Medical Sonographers,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,29-2032,Diagnostic Medical Sonographers,detailed,78640.0,1.7,,,,,38.79,80680,0.4,28.67,30.08,37.38,45.85,48.87,59640,62560,77740,95360,101650,,
41,Licensed Practical and Licensed Vocational Nurses,1.0,Licensed Practical and Licensed Vocational Nurses,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,29-2061,Licensed Practical and Licensed Vocational Nurses,detailed,641240.0,0.7,,,,,24.93,51850,0.4,17.86,22.31,23.11,28.73,30.67,37150,46410,48070,59770,63790,,
42,Dental Assistants,1.0,Dental Assistants,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,31-9091,Dental Assistants,detailed,347170.0,1.2,,,,,20.44,42510,0.5,14.22,17.79,18.59,22.88,28.63,29580,37000,38660,47580,59540,,
43,First-Line Supervisors of Police and Detectives,1.0,First-Line Supervisors of Police and Detectives,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,33-1012,First-Line Supervisors of Police and Detectives,detailed,128230.0,0.6,,,,,47.48,98760,0.3,24.9,32.31,47.76,61.07,76.85,51790,67210,99330,127020,159850,,
44,"Hairdressers, Hairstylists, and Cosmetologists",1.0,"Hairdressers, Hairstylists, and Cosmetologists",99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,39-5012,"Hairdressers, Hairstylists, and Cosmetologists",detailed,285980.0,1.6,,,,,17.3,35990,1.3,10.03,11.52,14.26,18.65,28.4,20860,23960,29670,38790,59070,,
45,First-Line Supervisors of Retail Sales Workers,1.0,First-Line Supervisors of Retail Sales Workers,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,41-1011,First-Line Supervisors of Retail Sales Workers,detailed,1143260.0,0.4,,,,,22.54,46890,0.3,13.94,16.12,18.86,25.03,35.17,29000,33520,39230,52070,73160,,
46,Counter and Rental Clerks,1.0,Counter and Rental Clerks,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,41-2021,Counter and Rental Clerks,detailed,371620.0,1.5,,,,,17.39,36170,0.5,11,13.78,15.06,18.77,24.44,22880,28660,31330,39040,50830,,
47,Retail Salespersons,1.0,Retail Salespersons,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,41-2031,Retail Salespersons,detailed,3693490.0,0.3,,,,,15.35,31920,0.2,10.5,11.3,14,16.88,21.85,21840,23500,29120,35110,45460,,
48,Insurance Sales Agents,1.0,Insurance Sales Agents,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,41-3021,Insurance Sales Agents,detailed,422600.0,1.1,,,,,33.34,69340,1.2,14.41,18.37,23.96,37.9,60.82,29970,38210,49840,78840,126510,,
49,Travel Agents,1.0,Travel Agents,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,41-3041,Travel Agents,detailed,37190.0,2.4,,,,,22.39,46580,1.4,13.6,15,21.06,26.37,35.68,28280,31200,43810,54840,74220,,
50,Receptionists and Information Clerks,1.0,Receptionists and Information Clerks,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,43-4171,Receptionists and Information Clerks,detailed,983150.0,0.6,,,,,15.82,32910,0.2,11.08,13.66,14.4,17.78,22,23050,28420,29950,36980,45760,,
51,Legal Secretaries and Administrative Assistants,1.0,Legal Secretaries and Administrative Assistants,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,43-6012,Legal Secretaries and Administrative Assistants,detailed,155250.0,2.5,,,,,25.26,52540,0.9,14.31,18.06,22.94,29.61,37.43,29770,37560,47710,61590,77850,,
52,Medical Secretaries and Administrative Assistants,1.0,Medical Secretaries and Administrative Assistants,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,43-6013,Medical Secretaries and Administrative Assistants,detailed,656640.0,0.9,,,,,19.11,39740,0.3,13.96,14.77,18.01,22.39,25.78,29040,30710,37450,46570,53630,,
53,Word Processors and Typists,1.0,Word Processors and Typists,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,43-9022,Word Processors and Typists,detailed,41930.0,2.4,,,,,20.85,43370,0.6,14.32,17.84,21.17,23.05,29,29780,37110,44030,47950,60320,,
54,"Office Clerks, General",1.0,"Office Clerks, General",99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,43-9061,"Office Clerks, General",detailed,2578180.0,0.4,,,,,18.75,38990,0.1,11.3,14.14,17.81,22.55,28.31,23500,29410,37030,46900,58870,,
55,Construction and Building Inspectors,1.0,Construction and Building Inspectors,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,47-4011,Construction and Building Inspectors,detailed,117830.0,2.1,,,,,32.93,68480,1.5,18.32,23.25,29.63,37.95,48.33,38110,48360,61640,78940,100520,,
56,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",1.0,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",detailed,50780.0,1.9,,,,,30.88,64230,0.7,18.17,23.28,29.68,36.83,46.01,37800,48420,61730,76600,95700,,
57,Water and Wastewater Treatment Plant and System Operators,1.0,Water and Wastewater Treatment Plant and System Operators,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,51-8031,Water and Wastewater Treatment Plant and System Operators,detailed,121150.0,1.3,,,,,25.15,52320,0.5,14.46,18.14,23.02,29.2,37.1,30070,37720,47880,60740,77170,,
58,Water/Wastewater Engineers,1.0,Water and Wastewater Treatment Plant and System Operators,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,51-8031,Water and Wastewater Treatment Plant and System Operators,detailed,121150.0,1.3,,,,,25.15,52320,0.5,14.46,18.14,23.02,29.2,37.1,30070,37720,47880,60740,77170,,
59,General and Operations Managers,1.0,General and Operations Managers,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,11-1021,General and Operations Managers,detailed,2984920.0,0.5,,,,,55.41,115250,0.4,20.8,29.18,47.1,72.96,#,43260,60690,97970,151750,#,,
60,Marketing Managers,1.0,Marketing Managers,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,11-2021,Marketing Managers,detailed,278690.0,1.0,,,,,73.77,153440,0.5,37.35,48.08,64.92,92.56,#,77680,100010,135030,192520,#,,
61,Computer and Information Systems Managers,1.0,Computer and Information Systems Managers,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,11-3021,Computer and Information Systems Managers,detailed,485190.0,0.9,,,,,78.33,162930,0.3,45.78,59.05,76.45,95.56,#,95220,122820,159010,198750,#,,
62,Human Resources Managers,1.0,Human Resources Managers,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,11-3121,Human Resources Managers,detailed,166530.0,1.4,,,,,65.67,136590,0.5,36.06,45.82,60.69,78.54,#,75000,95310,126230,163360,#,,
63,Training and Development Managers,1.0,Training and Development Managers,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,11-3131,Training and Development Managers,detailed,35830.0,1.2,,,,,61.92,128800,0.7,30.95,43.74,57.76,77.65,99.72,64370,90980,120130,161520,207420,,
64,Purchasing Managers,1.0,Purchasing Managers,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,11-3061,Purchasing Managers,detailed,69310.0,0.9,,,,,64.71,134590,0.5,37.17,47.46,61.13,78.19,99.3,77310,98720,127150,162630,206540,,
65,Architectural and Engineering Managers,1.0,Architectural and Engineering Managers,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,11-9041,Architectural and Engineering Managers,detailed,187100.0,0.9,,,,,76.43,158970,0.3,47.76,60.32,73.25,91.55,#,99350,125470,152350,190420,#,,
66,Food Service Managers,1.0,Food Service Managers,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,11-9051,Food Service Managers,detailed,210680.0,1.9,,,,,30.75,63970,1.4,17.61,22.4,28.58,36.6,47.15,36630,46590,59440,76130,98070,,
67,Lodging Managers,1.0,Lodging Managers,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,11-9081,Lodging Managers,detailed,35920.0,2.5,,,,,32.58,67770,1.8,17.08,22.31,28.57,37.27,49.89,35530,46400,59430,77510,103780,,
68,Social and Community Service Managers,1.0,Social and Community Service Managers,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,11-9151,Social and Community Service Managers,detailed,156400.0,1.0,,,,,36.92,76790,0.5,22.38,28.12,35.58,45.17,57.04,46550,58490,74000,93950,118650,,
69,"Meeting, Convention, and Event Planners",1.0,"Meeting, Convention, and Event Planners",99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,13-1121,"Meeting, Convention, and Event Planners",detailed,98150.0,1.9,,,,,27.81,57850,0.9,14.51,18.48,23.79,32.44,46.26,30170,38430,49470,67480,96230,,
70,Credit Analysts,1.0,Credit Analysts,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,13-2041,Credit Analysts,detailed,68770.0,1.5,,,,,42.32,88030,0.8,22.9,29.08,37.23,48.68,73.83,47630,60490,77440,101250,153560,,
71,Insurance Underwriters,1.0,Insurance Underwriters,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,13-2053,Insurance Underwriters,detailed,107690.0,2.8,,,,,38.43,79940,0.9,22.76,28.29,36.73,47.25,60.76,47330,58840,76390,98270,126380,,
72,Computer Programmers,1.0,Computer Programmers,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,15-1251,Computer Programmers,detailed,152610.0,2.0,,,,,46.46,96650,1.1,22.86,30.21,44.71,58.94,74.64,47560,62840,93000,122600,155240,,
73,Computer User Support Specialists,1.0,Computer User Support Specialists,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,15-1232,Computer User Support Specialists,detailed,654310.0,0.8,,,,,27.72,57650,0.4,16.45,18.93,23.93,32.76,43.78,34220,39380,49770,68130,91060,,
74,Database Administrators,1.0,Database Administrators,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,15-1242,Database Administrators,detailed,85870.0,1.5,,,,,46.42,96550,0.9,23.5,30.36,46.5,59.88,72.79,48880,63160,96710,124550,151400,,
75,Network and Computer Systems Administrators,1.0,Network and Computer Systems Administrators,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,15-1244,Network and Computer Systems Administrators,detailed,316760.0,1.1,,,,,43.87,91250,0.8,23.83,30.27,38.75,49.38,62.9,49560,62970,80600,102720,130830,,
76,Aerospace Engineers,1.0,Aerospace Engineers,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,17-2011,Aerospace Engineers,detailed,56640.0,2.6,,,,,59.12,122970,0.7,37.23,46.22,58.78,73.53,80.95,77440,96130,122270,152950,168370,,
77,Electrical Engineers,1.0,Electrical Engineers,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,17-2071,Electrical Engineers,detailed,186020.0,1.4,,,,,51.87,107890,0.5,29.98,37.74,48.28,61.81,78.33,62360,78500,100420,128560,162930,,
78,Environmental Engineers,1.0,Environmental Engineers,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,17-2081,Environmental Engineers,detailed,42660.0,2.6,,,,,48.18,100220,1.2,28.76,35.99,46.55,60.67,73.65,59820,74850,96820,126190,153200,,
79,Industrial Engineers,1.0,Industrial Engineers,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,17-2112,Industrial Engineers,detailed,293950.0,0.9,,,,,45.77,95200,0.4,29.26,36.85,45.82,50.74,62.32,60850,76650,95300,105530,129620,,
80,Mechanical Engineers,1.0,Mechanical Engineers,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,17-2141,Mechanical Engineers,detailed,278240.0,1.0,,,,,46.64,97000,0.6,29.21,36.56,45.82,57.78,65.49,60750,76050,95300,120180,136210,,
81,Mechanical Drafters,1.0,Mechanical Drafters,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,17-3013,Mechanical Drafters,detailed,47760.0,1.9,,,,,30.12,62650,0.7,18.07,22.71,28.94,36.61,46.09,37590,47230,60200,76150,95860,,
82,Civil Engineering Technologists and Technicians,1.0,Civil Engineering Technologists and Technicians,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,17-3022,Civil Engineering Technologists and Technicians,detailed,64170.0,1.9,,,,,27.89,58000,0.8,17.57,20.25,28.04,35.23,38.29,36550,42110,58320,73280,79650,,
83,Mechanical Engineering Technologists and Technicians,1.0,Mechanical Engineering Technologists and Technicians,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,17-3027,Mechanical Engineering Technologists and Technicians,detailed,40180.0,2.2,,,,,30.47,63390,0.6,18.11,22.93,29.07,36.83,45.82,37670,47700,60460,76600,95300,,
84,Zoologists and Wildlife Biologists,1.0,Zoologists and Wildlife Biologists,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,19-1023,Zoologists and Wildlife Biologists,detailed,15930.0,3.1,,,,,33.8,70300,0.6,20.39,24.29,31.08,39.27,49.95,42420,50520,64650,81690,103900,,
85,Chemists,1.0,Chemists,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,19-2031,Chemists,detailed,80600.0,1.9,,,,,42.85,89130,0.7,23.12,29.59,38.19,51.51,64.8,48100,61540,79430,107140,134780,,
86,"Environmental Scientists and Specialists, Including Health",1.0,"Environmental Scientists and Specialists, Including Health",99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,19-2041,"Environmental Scientists and Specialists, Including Health",detailed,76890.0,1.5,,,,,39.06,81240,0.9,22.21,27.98,36.79,47.64,62.05,46200,58200,76530,99090,129070,,
87,Chemical Technicians,1.0,Chemical Technicians,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,19-4031,Chemical Technicians,detailed,57690.0,1.7,,,,,26.46,55040,0.7,15.38,18.63,23.56,30.38,38.74,31980,38740,48990,63180,80570,,
88,"Environmental Science and Protection Technicians, Including Health",1.0,"Environmental Science and Protection Technicians, Including Health",99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,19-4042,"Environmental Science and Protection Technicians, Including Health",detailed,34110.0,3.1,,,,,24.3,50550,1,14.45,17.89,22.78,28.78,36.93,30050,37210,47370,59860,76810,,
89,Forensic Science Technicians,1.0,Forensic Science Technicians,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,19-4092,Forensic Science Technicians,detailed,17020.0,1.1,,,,,32.14,66850,0.5,18.11,22.96,29.78,38.78,49.73,37670,47750,61930,80670,103430,,
90,Mental Health Counselors,1.0,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,21-1018,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",detailed,310880.0,1.0,,,,,25.72,53490,0.5,14.84,18.52,23.33,29.64,37.49,30870,38520,48520,61660,77980,,
