degree_of_automation_context,occupation,importance_of_being_exact_or_accurate_context,importance_of_repeating_same_tasks_context,structured_versus_unstructured_work_context
0.44,Insurance Sales Agents,0.93,0.7,0.78
0.44,"Shipping, Receiving, and Inventory Clerks",0.86,0.84,0.84
0.44,Surveyors,0.92,0.62,0.65
0.44,Tax Preparers,0.93,0.82,0.79
0.43,Computer Hardware Engineers,0.85,0.53,0.76
0.43,Cytogenetic Technologists,0.98,0.93,0.62
0.43,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",0.75,0.62,0.5
0.43,Medical Transcriptionists,0.95,0.87,0.81
0.43,"Mixing and Blending Machine Setters, Operators, and Tenders",0.86,0.72,0.72
0.43,"Molders, Shapers, and Casters, Except Metal and Plastic",0.78,0.62,0.49
0.43,Ophthalmic Medical Technicians,0.93,0.66,0.65
0.43,Patient Representatives,0.89,0.88,0.62
0.43,"Pourers and Casters, Metal",0.7,0.5,0.46
0.43,Print Binding and Finishing Workers,0.83,0.65,0.62
0.43,Real Estate Brokers,0.76,0.51,0.96
0.43,Remote Sensing Scientists and Technologists,0.8,0.43,0.72
0.43,Robotics Engineers,0.88,0.4,0.77
0.43,"Switchboard Operators, Including Answering Service",0.87,0.74,0.74
0.43,Web Administrators,0.76,0.64,0.84
0.42,Biomass Power Plant Managers,0.83,0.73,0.85
0.42,Broadcast Technicians,0.79,0.52,0.72
0.42,Cartographers and Photogrammetrists,0.97,0.63,0.74
0.42,Chief Executives,0.79,0.56,1.0
0.42,Computer Systems Engineers/Architects,0.8,0.55,0.79
0.42,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",0.61,0.32,0.65
0.42,"Geological Technicians, Except Hydrologic Technicians",0.88,0.68,0.76
0.42,Library Technicians,0.74,0.79,0.82
0.42,Nanotechnology Engineering Technologists and Technicians,0.88,0.47,0.75
0.42,Online Merchants,0.79,0.61,0.84
0.42,Orderlies,0.88,0.78,0.7
0.42,Power Distributors and Dispatchers,0.88,0.82,0.73
0.42,Probation Officers and Correctional Treatment Specialists,0.84,0.75,0.75
0.42,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",0.85,0.68,0.69
0.41,Baristas,0.67,0.5,0.61
0.41,Biochemists and Biophysicists,0.94,0.63,0.84
0.41,Boilermakers,0.84,0.61,0.72
0.41,Computer User Support Specialists,0.87,0.59,0.84
0.41,Conveyor Operators and Tenders,0.86,0.5,0.76
0.41,Helpers--Production Workers,0.72,0.55,0.6
0.41,"Hotel, Motel, and Resort Desk Clerks",0.79,0.72,0.75
0.41,"Interviewers, Except Eligibility and Loan",0.92,0.91,0.69
0.41,Magnetic Resonance Imaging Technologists,0.92,0.78,0.67
0.41,"Meter Readers, Utilities",0.83,0.73,0.64
0.41,Order Clerks,0.8,0.81,0.82
0.41,Pharmacists,0.98,0.88,0.84
0.41,Postmasters and Mail Superintendents,0.79,0.68,0.72
0.41,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",0.86,0.64,0.85
0.41,Radiologic Technologists and Technicians,0.9,0.66,0.74
0.41,"Securities, Commodities, and Financial Services Sales Agents",0.9,0.61,0.85
0.41,Statistical Assistants,0.87,0.61,0.74
0.41,Transportation Security Screeners,0.83,0.68,0.41
0.4,Airfield Operations Specialists,0.92,0.86,0.91
0.4,Database Architects,0.85,0.68,0.76
0.4,Endoscopy Technicians,0.9,0.75,0.67
0.4,"Family and Consumer Sciences Teachers, Postsecondary",0.72,0.58,0.9
0.4,Hoist and Winch Operators,0.95,0.59,0.89
0.4,"Maintenance Workers, Machinery",0.78,0.54,0.68
0.4,Network and Computer Systems Administrators,0.75,0.58,0.79
0.4,Parking Attendants,0.74,0.54,0.6
0.4,Printing Press Operators,0.93,0.65,0.76
0.4,"Production, Planning, and Expediting Clerks",0.86,0.69,0.8
0.4,Segmental Pavers,0.69,0.56,0.68
0.4,Surveying and Mapping Technicians,0.9,0.71,0.72
0.4,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",0.66,0.55,0.44
0.4,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",0.72,0.59,0.48
0.4,Travel Guides,0.68,0.39,0.84
0.4,Treasurers and Controllers,0.91,0.67,0.84
0.39,Aircraft Cargo Handling Supervisors,0.89,0.72,0.87
0.39,Aviation Inspectors,0.87,0.84,0.85
0.39,Computer and Information Systems Managers,0.76,0.72,0.94
0.39,Computer Numerically Controlled Tool Programmers,0.94,0.61,0.73
0.39,Financial Managers,0.92,0.68,0.8
0.39,Gem and Diamond Workers,0.96,0.88,0.59
0.39,"Human Resources Assistants, Except Payroll and Timekeeping",0.93,0.84,0.81
0.39,Hydroelectric Plant Technicians,0.86,0.8,0.68
0.39,Manufacturing Engineers,0.8,0.39,0.74
0.39,Packaging and Filling Machine Operators and Tenders,0.85,0.74,0.65
0.39,"Paving, Surfacing, and Tamping Equipment Operators",0.62,0.49,0.7
0.39,Photonics Technicians,0.87,0.54,0.64
0.39,Postal Service Clerks,0.82,0.74,0.48
0.39,"Pressers, Textile, Garment, and Related Materials",0.77,0.46,0.74
0.39,Software Quality Assurance Analysts and Testers,0.84,0.58,0.7
0.39,"Textile Cutting Machine Setters, Operators, and Tenders",0.84,0.57,0.34
0.39,Traffic Technicians,0.85,0.71,0.66
0.38,Actuaries,0.88,0.52,0.73
0.38,Bakers,0.8,0.52,0.81
0.38,Chemical Technicians,0.97,0.66,0.53
0.38,Clinical Data Managers,0.86,0.7,0.78
0.38,Compliance Officers,0.87,0.74,0.58
0.38,Cytotechnologists,0.92,0.88,0.64
0.38,Fish and Game Wardens,0.79,0.46,0.89
0.38,Health Informatics Specialists,0.82,0.81,0.81
0.38,Hydroelectric Production Managers,0.77,0.65,0.87
0.38,Ophthalmic Medical Technologists,0.83,0.55,0.64
0.38,Parking Enforcement Workers,0.75,0.61,0.62
0.38,"Sawing Machine Setters, Operators, and Tenders, Wood",0.9,0.46,0.76
0.38,Supply Chain Managers,0.75,0.43,0.8
0.38,"Transportation, Storage, and Distribution Managers",0.77,0.56,0.75
0.37,Acute Care Nurses,0.96,0.64,0.83
0.37,Architectural and Civil Drafters,0.91,0.65,0.64
0.37,Cement Masons and Concrete Finishers,0.86,0.52,0.65
0.37,Chemists,0.9,0.68,0.77
0.37,"Computer, Automated Teller, and Office Machine Repairers",0.75,0.66,0.86
0.37,Food Preparation Workers,0.8,0.67,0.53
0.37,"Fraud Examiners, Investigators and Analysts",0.91,0.7,0.79
0.37,Geothermal Production Managers,0.82,0.63,0.94
0.37,"Grinding and Polishing Workers, Hand",0.76,0.54,0.61
0.37,Investment Fund Managers,0.81,0.42,0.88
0.37,Landscaping and Groundskeeping Workers,0.55,0.32,0.54
0.37,"Maintenance and Repair Workers, General",0.74,0.52,0.84
0.37,Nuclear Medicine Technologists,0.92,0.62,0.83
0.37,Precision Agriculture Technicians,0.7,0.42,0.7
0.37,Survey Researchers,0.87,0.46,0.74
0.36,Butchers and Meat Cutters,0.73,0.5,0.63
0.36,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",0.55,0.52,0.6
0.36,Correspondence Clerks,0.85,0.82,0.82
0.36,"Dispatchers, Except Police, Fire, and Ambulance",0.9,0.88,0.82
0.36,Food Service Managers,0.82,0.74,0.79
0.36,"Glass Blowers, Molders, Benders, and Finishers",0.84,0.5,0.71
0.36,Intelligence Analysts,0.91,0.69,0.81
0.36,Logistics Engineers,0.79,0.58,0.76
0.36,Media Programming Directors,0.82,0.56,0.89
0.36,Microbiologists,0.97,0.71,0.65
0.36,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",0.79,0.62,0.71
0.36,"Office Machine Operators, Except Computer",0.69,0.55,0.57
0.36,Pharmacy Technicians,1.0,0.85,0.63
0.36,Postal Service Mail Carriers,0.88,0.82,0.42
0.36,Radiologists,1.0,0.8,0.76
0.36,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",0.69,0.61,0.9
0.36,Tellers,0.95,0.93,0.69
0.36,Wind Energy Operations Managers,0.72,0.52,0.9
0.35,Agricultural Engineers,0.78,0.47,0.81
0.35,Billing and Posting Clerks,0.9,0.91,0.78
0.35,Business Continuity Planners,0.65,0.38,0.74
0.35,Credit Analysts,0.88,0.78,0.8
0.35,Data Warehousing Specialists,0.86,0.6,0.73
0.35,Fence Erectors,0.77,0.61,0.88
0.35,Loss Prevention Managers,0.73,0.5,0.79
0.35,Nanosystems Engineers,0.81,0.36,0.79
0.35,Personal Financial Advisors,0.82,0.52,0.82
0.35,Police Identification and Records Officers,0.97,0.8,0.92
0.35,Proofreaders and Copy Markers,0.97,0.92,0.56
0.35,Registered Nurses,0.86,0.74,0.75
0.35,Respiratory Therapists,0.91,0.66,0.74
0.35,Stockers and Order Fillers,0.81,0.69,0.64
0.34,Agricultural Inspectors,0.91,0.73,0.74
0.34,Anesthesiologists,0.96,0.7,0.86
0.34,Automotive Engineering Technicians,0.85,0.58,0.58
0.34,"Bookkeeping, Accounting, and Auditing Clerks",0.92,0.91,0.7
0.34,Couriers and Messengers,0.79,0.62,0.79
0.34,Court Reporters and Simultaneous Captioners,0.99,0.71,0.85
0.34,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",0.85,0.57,0.83
0.34,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",0.94,0.8,0.67
0.34,Equal Opportunity Representatives and Officers,0.83,0.5,0.89
0.34,"Farmers, Ranchers, and Other Agricultural Managers",0.62,0.52,0.88
0.34,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",0.75,0.49,0.83
0.34,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",0.63,0.55,0.68
0.34,Market Research Analysts and Marketing Specialists,0.86,0.49,0.82
0.34,"Paper Goods Machine Setters, Operators, and Tenders",0.78,0.61,0.54
0.34,Public Safety Telecommunicators,0.96,0.9,0.68
0.34,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",0.88,0.79,0.63
0.33,Appraisers and Assessors of Real Estate,0.87,0.68,0.74
0.33,Atmospheric and Space Scientists,0.81,0.46,0.74
0.33,Civil Engineers,0.85,0.55,0.75
0.33,Computer and Information Research Scientists,0.74,0.31,0.75
0.33,Family Medicine Physicians,0.94,0.44,0.87
0.33,Financial Examiners,0.75,0.43,0.65
0.33,First-Line Supervisors of Office and Administrative Support Workers,0.81,0.52,0.85
0.33,First-Line Supervisors of Production and Operating Workers,0.81,0.59,0.8
0.33,Flight Attendants,0.79,0.7,0.73
0.33,Forest and Conservation Technicians,0.75,0.65,0.74
0.33,"Graders and Sorters, Agricultural Products",0.64,0.26,0.41
0.33,"Loading and Moving Machine Operators, Underground Mining",0.59,0.35,0.74
0.33,Non-Destructive Testing Specialists,0.86,0.66,0.65
0.33,Nuclear Technicians,0.95,0.83,0.58
0.33,Optometrists,0.94,0.74,0.85
0.33,Phlebotomists,0.95,0.81,0.68
0.33,"Roustabouts, Oil and Gas",0.8,0.68,0.68
0.33,Sheet Metal Workers,0.84,0.61,0.65
0.33,"Stone Cutters and Carvers, Manufacturing",0.85,0.58,0.73
0.33,Word Processors and Typists,0.92,0.91,0.82
0.32,"Bus Drivers, Transit and Intercity",0.71,0.52,0.45
0.32,Commercial Pilots,0.9,0.69,0.85
0.32,Computer Network Support Specialists,0.86,0.68,0.83
0.32,Computer Programmers,0.81,0.54,0.6
0.32,"Cooks, Short Order",0.79,0.58,0.74
0.32,Cost Estimators,0.88,0.63,0.72
0.32,Electromechanical Equipment Assemblers,0.79,0.64,0.62
0.32,Etchers and Engravers,0.86,0.59,0.8
0.32,Fast Food and Counter Workers,0.7,0.57,0.58
0.32,First-Line Supervisors of Food Preparation and Serving Workers,0.87,0.65,0.74
0.32,Food Scientists and Technologists,0.79,0.49,0.64
0.32,Forest Fire Inspectors and Prevention Specialists,0.76,0.64,0.79
0.32,General and Operations Managers,0.75,0.65,0.95
0.32,Highway Maintenance Workers,0.78,0.63,0.59
0.32,"Library Assistants, Clerical",0.79,0.68,0.75
0.32,Materials Engineers,0.78,0.3,0.79
0.32,Photonics Engineers,0.85,0.35,0.78
0.32,Prosthodontists,0.99,0.78,0.93
0.32,Sales Managers,0.68,0.4,0.77
0.31,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",0.85,0.72,0.78
0.31,"Business Teachers, Postsecondary",0.56,0.41,0.93
0.31,"Control and Valve Installers and Repairers, Except Mechanical Door",0.81,0.57,0.69
0.31,"Cutters and Trimmers, Hand",0.89,0.4,0.61
0.31,Desktop Publishers,0.86,0.57,0.76
0.31,Detectives and Criminal Investigators,0.84,0.57,0.87
0.31,Emergency Management Directors,0.69,0.44,0.8
0.31,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",0.72,0.48,0.79
0.31,General Internal Medicine Physicians,0.86,0.66,0.86
0.31,Management Analysts,0.76,0.27,0.81
0.31,Nurse Anesthetists,0.95,0.79,0.86
0.31,"Physicians, Pathologists",0.97,0.78,0.84
0.31,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",0.81,0.62,0.55
0.31,Quality Control Systems Managers,0.93,0.73,0.82
0.31,Range Managers,0.61,0.46,0.85
0.31,Real Estate Sales Agents,0.76,0.48,0.93
0.31,Recycling Coordinators,0.71,0.56,0.93
0.31,Social and Community Service Managers,0.8,0.61,0.84
0.31,Social and Human Service Assistants,0.77,0.6,0.77
0.31,Solar Sales Representatives and Assessors,0.81,0.42,0.91
0.31,Sound Engineering Technicians,0.83,0.54,0.77
0.31,Telecommunications Engineering Specialists,0.78,0.47,0.74
0.31,Urologists,0.99,0.54,0.95
0.3,Agricultural Technicians,0.89,0.75,0.7
0.3,"Child, Family, and School Social Workers",0.82,0.54,0.85
0.3,Cleaners of Vehicles and Equipment,0.69,0.47,0.62
0.3,Community Health Workers,0.73,0.51,0.77
0.3,"Cooks, Fast Food",0.73,0.28,0.3
0.3,Electro-Mechanical and Mechatronics Technologists and Technicians,0.88,0.76,0.57
0.3,"Explosives Workers, Ordnance Handling Experts, and Blasters",0.88,0.6,0.65
0.3,Fabric and Apparel Patternmakers,0.93,0.56,0.8
0.3,Farm Labor Contractors,0.82,0.87,0.99
0.3,Funeral Attendants,0.77,0.56,0.63
0.3,Government Property Inspectors and Investigators,0.86,0.58,0.75
0.3,Industrial Engineering Technologists and Technicians,0.82,0.67,0.79
0.3,Industrial Machinery Mechanics,0.68,0.49,0.63
0.3,Licensed Practical and Licensed Vocational Nurses,0.93,0.73,0.74
0.3,Mechanical Engineers,0.84,0.62,0.9
0.3,"Medical Scientists, Except Epidemiologists",0.89,0.74,0.79
0.3,Nuclear Engineers,0.86,0.39,0.59
0.3,"Opticians, Dispensing",0.94,0.52,0.72
0.3,"Painting, Coating, and Decorating Workers",0.71,0.36,0.73
0.3,"Patternmakers, Wood",0.93,0.68,0.79
0.3,Physical Therapist Aides,0.73,0.48,0.72
0.3,Podiatrists,0.9,0.47,0.84
0.3,"Property, Real Estate, and Community Association Managers",0.73,0.48,0.81
0.3,Railroad Conductors and Yardmasters,0.77,0.67,0.59
0.3,Remote Sensing Technicians,0.91,0.74,0.62
0.3,Retail Loss Prevention Specialists,0.83,0.7,0.72
0.3,Ship Engineers,0.71,0.66,0.89
0.3,Soil and Plant Scientists,0.73,0.49,0.83
0.3,"Ushers, Lobby Attendants, and Ticket Takers",0.69,0.48,0.42
0.3,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",0.76,0.36,0.56
0.29,"Administrative Law Judges, Adjudicators, and Hearing Officers",0.88,0.79,0.84
0.29,Administrative Services Managers,0.79,0.59,0.76
0.29,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",0.86,0.66,0.71
0.29,Allergists and Immunologists,0.96,0.63,0.88
0.29,Athletic Trainers,0.83,0.66,0.76
0.29,Audiologists,0.91,0.35,0.8
0.29,Automotive Engineers,0.84,0.48,0.79
0.29,Business Intelligence Analysts,0.81,0.56,0.86
0.29,"Compensation, Benefits, and Job Analysis Specialists",0.88,0.75,0.89
0.29,Construction and Building Inspectors,0.74,0.48,0.82
0.29,First-Line Supervisors of Material-Moving Machine and Vehicle Operators,0.83,0.76,0.77
0.29,Food Science Technicians,0.9,0.72,0.58
0.29,Gambling Surveillance Officers and Gambling Investigators,0.96,0.88,0.74
0.29,Industrial Engineers,0.81,0.54,0.86
0.29,Information Technology Project Managers,0.74,0.63,0.85
0.29,"Inspectors, Testers, Sorters, Samplers, and Weighers",0.89,0.66,0.75
0.29,Logging Equipment Operators,0.7,0.68,0.71
0.29,Marine Engineers and Naval Architects,0.86,0.46,0.75
0.29,Materials Scientists,0.81,0.38,0.8
0.29,Neurodiagnostic Technologists,0.91,0.69,0.71
0.29,Plasterers and Stucco Masons,0.79,0.33,0.5
0.29,Rail-Track Laying and Maintenance Equipment Operators,0.73,0.58,0.77
0.29,Retail Salespersons,0.79,0.63,0.77
0.29,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",0.84,0.45,0.93
0.29,Search Marketing Strategists,0.69,0.46,0.81
0.29,"Tool Grinders, Filers, and Sharpeners",0.9,0.45,0.69
0.29,Transportation Inspectors,0.91,0.61,0.88
0.28,Art Directors,0.87,0.8,0.86
0.28,Barbers,0.84,0.46,0.81
0.28,Cabinetmakers and Bench Carpenters,0.78,0.42,0.64
0.28,Conservation Scientists,0.69,0.35,0.73
0.28,Counter and Rental Clerks,0.75,0.67,0.65
0.28,Crane and Tower Operators,0.89,0.49,0.74
0.28,Driver/Sales Workers,0.8,0.85,0.75
0.28,"Education and Childcare Administrators, Preschool and Daycare",0.76,0.67,0.86
0.28,"Electronics Engineers, Except Computer",0.79,0.57,0.82
0.28,"Environmental Scientists and Specialists, Including Health",0.76,0.57,0.88
0.28,First-Line Supervisors of Housekeeping and Janitorial Workers,0.75,0.61,0.69
0.28,First-Line Supervisors of Non-Retail Sales Workers,0.81,0.67,0.8
0.28,First-Line Supervisors of Police and Detectives,0.84,0.7,0.86
0.28,Fuel Cell Engineers,0.7,0.3,0.73
0.28,Gambling Managers,0.85,0.65,0.87
0.28,Hazardous Materials Removal Workers,0.69,0.54,0.54
0.28,"Helpers--Installation, Maintenance, and Repair Workers",0.72,0.53,0.68
0.28,"Judges, Magistrate Judges, and Magistrates",0.94,0.58,0.98
0.28,Marketing Managers,0.7,0.45,0.91
0.28,Medical Secretaries and Administrative Assistants,0.88,0.9,0.76
0.28,Millwrights,0.94,0.62,0.67
0.28,"Model Makers, Metal and Plastic",1.0,0.67,0.53
0.28,Molecular and Cellular Biologists,0.84,0.51,0.76
0.28,"Office Clerks, General",0.9,0.81,0.68
0.28,"Packers and Packagers, Hand",0.83,0.72,0.59
0.28,"Patternmakers, Metal and Plastic",0.78,0.51,0.71
0.28,Psychiatric Technicians,0.84,0.71,0.71
0.28,"Pump Operators, Except Wellhead Pumpers",0.71,0.75,0.77
0.28,"Service Unit Operators, Oil and Gas",0.84,0.77,0.74
0.28,Skincare Specialists,0.72,0.66,0.61
0.28,"Tailors, Dressmakers, and Custom Sewers",0.88,0.54,0.73
0.28,Wind Turbine Service Technicians,0.82,0.8,0.67
0.28,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",0.85,0.67,0.68
0.27,Biofuels/Biodiesel Technology and Product Development Managers,0.78,0.47,0.86
0.27,Cardiovascular Technologists and Technicians,0.92,0.78,0.77
0.27,Chiropractors,0.93,0.82,0.99
0.27,Energy Auditors,0.76,0.48,0.64
0.27,Executive Secretaries and Executive Administrative Assistants,0.88,0.71,0.92
0.27,Film and Video Editors,0.86,0.44,0.6
0.27,Financial Quantitative Analysts,0.93,0.53,0.83
0.27,Fishing and Hunting Workers,0.51,0.48,0.81
0.27,"Food Servers, Nonrestaurant",0.73,0.67,0.72
0.27,Human Resources Managers,0.76,0.51,0.93
0.27,"Laborers and Freight, Stock, and Material Movers, Hand",0.79,0.6,0.66
0.27,Librarians and Media Collections Specialists,0.71,0.47,0.83
0.27,Maids and Housekeeping Cleaners,0.66,0.44,0.59
0.27,Medical Assistants,0.85,0.76,0.67
0.27,Nuclear Monitoring Technicians,0.9,0.67,0.66
0.27,"Nursing Instructors and Teachers, Postsecondary",0.92,0.59,0.8
0.27,"Painters, Construction and Maintenance",0.73,0.31,0.53
0.27,Parts Salespersons,0.83,0.81,0.82
0.27,Passenger Attendants,0.61,0.36,0.38
