	O*NET-SOC Code	Task ID	Task	Task Type	Title	human_exposure_agg	gpt4_exposure	gpt4_exposure_alt_rubric	gpt_3_relevant	gpt4_automation	alpha	beta	gamma	automation	human_labels
28	11-1011.00	8852.0	Represent organizations or promote their objectives at official functions, or delegate representatives to do so.	Supplemental	Chief Executives	E0	E0	E0	False	T1	0.0	0.0	0.0	0.25	E0
29	11-1011.00	8850.0	Organize or approve promotional campaigns.	Supplemental	Chief Executives	E0	E2	E2	False	T2	0.0	0.5	1.0	0.5	E0
30	11-1011.00	8842.0	Nominate citizens to boards or commissions.	Supplemental	Chief Executives	E0	E1	E0	False	T1	1.0	1.0	1.0	0.25	E0
31	11-1011.03	15382.0	Monitor and evaluate effectiveness of sustainability programs.	Core	Chief Sustainability Officers	E2	E2	E2	False	T2	0.0	0.5	1.0	0.5	E2
32	11-1011.03	15384.0	Develop or execute strategies to address issues such as energy use, resource conservation, recycling, pollution reduction, waste elimination, transportation, education, and building design.	Core	Chief Sustainability Officers	E2	E2	E2	False	T1	0.0	0.5	1.0	0.25	E2
33	11-1011.03	15379.0	Develop, or oversee the development of, sustainability evaluation or monitoring systems.	Core	Chief Sustainability Officers	E0	E2	E2	False	T2	0.0	0.5	1.0	0.5	E0
34	11-1011.03	15372.0	Supervise employees or volunteers working on sustainability projects.	Core	Chief Sustainability Officers	E0	E0	E0	False	T1	0.0	0.0	0.0	0.25	E0
35	11-1011.03	15378.0	Develop sustainability reports, presentations, or proposals for supplier, employee, academia, media, government, public interest, or other groups.	Core	Chief Sustainability Officers	E2	E2	E2	False	T2	0.0	0.5	1.0	0.5	E2
36	11-1011.03	15380.0	Develop, or oversee the development of, marketing or outreach media for sustainability projects or events.	Core	Chief Sustainability Officers	E2	E2	E2	False	T3	0.0	0.5	1.0	0.75	E2
37	11-1011.03	15368.0	Identify and evaluate pilot projects or programs to enhance the sustainability research agenda.	Core	Chief Sustainability Officers	E2	E2	E2	True	T1	0.0	0.5	1.0	0.25	E2
38	11-1011.03	15370.0	Create and maintain sustainability program documents, such as schedules and budgets.	Core	Chief Sustainability Officers	E2	E1	E1	True	T3	1.0	1.0	1.0	0.75	E2
39	11-1011.03	15375.0	Formulate or implement sustainability campaign or marketing strategies.	Core	Chief Sustainability Officers	E2	E2	E2	False	T2	0.0	0.5	1.0	0.5	E2
40	11-1011.03	15376.0	Research environmental sustainability issues, concerns, or stakeholder interests.	Core	Chief Sustainability Officers	E2	E2	E2	True	T2	0.0	0.5	1.0	0.5	E2
41	11-1011.03	15383.0	Direct sustainability program operations to ensure compliance with environmental or governmental regulations.	Core	Chief Sustainability Officers	E0	E2	E0	False	T2	0.0	0.5	1.0	0.5	E0
42	11-1011.03	15377.0	Evaluate and approve proposals for sustainability projects, considering factors such as cost effectiveness, technical feasibility, and integration with other initiatives.	Core	Chief Sustainability Officers	E2	E2	E2	False	T2	0.0	0.5	1.0	0.5	E2
43	11-1011.03	15381.0	Develop methodologies to assess the viability or success of sustainability initiatives.	Core	Chief Sustainability Officers	E2	E2	E2	True	T2	0.0	0.5	1.0	0.5	E2
44	11-1011.03	15374.0	Review sustainability program objectives, progress, or status to ensure compliance with policies, standards, regulations, or laws.	Core	Chief Sustainability Officers	E2	E2	E2	False	T2	0.0	0.5	1.0	0.5	E2
45	11-1011.03	15373.0	Write and distribute financial or environmental impact reports.	Core	Chief Sustainability Officers	E2	E1	E1	True	T3	1.0	1.0	1.0	0.75	E2
46	11-1011.03	15371.0	Write project proposals, grant applications, or other documents to pursue funding for environmental initiatives.	Core	Chief Sustainability Officers	E1	E1	E1	True	T3	1.0	1.0	1.0	0.75	E1
47	11-1011.03	15367.0	Identify educational, training, or other development opportunities for sustainability employees or volunteers.	Core	Chief Sustainability Officers	E0	E2	E2	False	T2	0.0	0.5	1.0	0.5	E0
48	11-1011.03	15369.0	Conduct risk assessments related to sustainability and the environment.	Core	Chief Sustainability Officers	E0	E2	E2	True	T2	0.0	0.5	1.0	0.5	E0
49	11-1021.00	20699.0	Review financial statements, sales or activity reports, or other performance data to measure productivity or goal achievement or to identify areas needing cost reduction or program improvement.	Core	General and Operations Managers	E2	E2	E2	True	T3	0.0	0.5	1.0	0.75	E2
50	11-1021.00	933.0	Direct and coordinate activities of businesses or departments concerned with the production, pricing, sales, or distribution of products.	Core	General and Operations Managers	E2	E2	E0	False	T1	0.0	0.5	1.0	0.25	E2
51	11-1021.00	20700.0	Direct administrative activities directly related to making products or providing services.	Core	General and Operations Managers	E0	E2	E0	False	T2	0.0	0.5	1.0	0.5	E0
52	11-1021.00	20701.0	Prepare staff work schedules and assign specific duties.	Core	General and Operations Managers	E2	E2	E2	False	T3	0.0	0.5	1.0	0.75	E2
53	11-1021.00	20702.0	Monitor suppliers to ensure that they efficiently and effectively provide needed goods or services within budgetary limits.	Core	General and Operations Managers	E0	E2	E2	False	T2	0.0	0.5	1.0	0.5	E0
54	11-1021.00	20703.0	Direct or coordinate financial or budget activities to fund operations, maximize investments, or increase efficiency.	Core	General and Operations Managers	E2	E2	E2	False	T2	0.0	0.5	1.0	0.5	E2
55	11-1021.00	20704.0	Establish or implement departmental policies, goals, objectives, or procedures in conjunction with board members, organization officials, or staff members.	Core	General and Operations Managers	E1	E2	E2	True	T2	0.0	0.5	1.0	0.5	E1
56	11-1021.00	20705.0	Perform personnel functions, such as selection, training, or evaluation.	Core	General and Operations Managers	E0	E2	E0	False	T2	0.0	0.5	1.0	0.5	E0
57	11-1021.00	20706.0	Plan or direct activities, such as sales promotions, that require coordination with other department managers.	Core	General and Operations Managers	E2	E2	E2	False	T1	0.0	0.5	1.0	0.25	E2
58	11-1021.00	20707.0	Set prices or credit terms for goods or services, based on forecasts of customer demand.	Supplemental	General and Operations Managers	E2	E2	E2	False	T3	0.0	0.5	1.0	0.75	E2
59	11-1021.00	20708.0	Manage the movement of goods into and out of production facilities to ensure efficiency, effectiveness, or sustainability of operations.	Supplemental	General and Operations Managers	E2	E2	E2	False	T2	0.0	0.5	1.0	0.5	E2
60	11-1021.00	944.0	Perform sales floor work, such as greeting or assisting customers, stocking shelves, or taking inventory.	Supplemental	General and Operations Managers	E0	E0	E0	False	T1	0.0	0.0	0.0	0.25	E0
61	11-1021.00	945.0	Develop or implement product-marketing strategies, including advertising campaigns or sales promotions.	Supplemental	General and Operations Managers	E2	E2	E2	False	T2	0.0	0.5	1.0	0.5	E2
62	11-1021.00	948.0	Recommend locations for new facilities, or oversee the remodeling or renovating of current facilities.	Supplemental	General and Operations Managers	E0	E2	E0	False	T1	0.0	0.5	1.0	0.25	E0
63	11-1021.00	19501.0	Implement or oversee environmental management or sustainability programs addressing issues such as recycling, conservation, or waste management.	Supplemental	General and Operations Managers	E1	E2	E2	False	T2	0.0	0.5	1.0	0.5	E1
64	11-1021.00	947.0	Direct non-merchandising departments of businesses, such as advertising or purchasing.	Supplemental	General and Operations Managers	E2	E2	E2	False	T2	0.0	0.5	1.0	0.5	E2
65	11-1021.00	949.0	Plan store layouts or design displays.	Supplemental	General and Operations Managers	E0	E2	E2	False	T1	0.0	0.5	1.0	0.25	E0
66	11-1031.00	15267.0	Analyze and understand the local and national implications of proposed legislation.		Legislators	E0	E2	E2	False	T1	0.0	0.5	1.0	0.25	E0
67	11-1031.00	15268.0	Appoint nominees to leadership posts, or approve such appointments.		Legislators	E0	E0	E0	False	T1	0.0	0.0	0.0	0.25	E0
68	11-1031.00	15269.0	Confer with colleagues to formulate positions and strategies pertaining to pending issues.		Legislators	E1	E2	E0	False	T1	0.0	0.5	1.0	0.25	E1
69	11-1031.00	15270.0	Debate the merits of proposals and bill amendments during floor sessions, following the appropriate rules of procedure.		Legislators	E1	E0	E0	False	T0	0.0	0.0	0.0	0.0	E1
70	11-1031.00	15271.0	Develop expertise in subject matters related to committee assignments.		Legislators	E2	E2	E2	False	T1	0.0	0.5	1.0	0.25	E2
71	11-1031.00	15272.0	Hear testimony from constituents, representatives of interest groups, board and commission members, and others with an interest in bills or issues under consideration.		Legislators	E1	E0	E0	False	T1	0.0	0.0	0.0	0.25	E1
72	11-1031.00	15273.0	Keep abreast of the issues affecting constituents by making personal visits and phone calls, reading local newspapers, and viewing or listening to local broadcasts.		Legislators	E2	E2	E2	False	T1	0.0	0.5	1.0	0.25	E2
73	11-1031.00	15274.0	Maintain knowledge of relevant national and international current events.		Legislators	E2	E2	E2	False	T3	0.0	0.5	1.0	0.75	E2
74	11-1031.00	15275.0	Make decisions that balance the perspectives of private citizens, public officials, and party leaders.		Legislators	E2	E2	E0	False	T0	0.0	0.5	1.0	0.0	E2
75	11-1031.00	15276.0	Negotiate with colleagues or members of other political parties in order to reconcile differing interests, and to create policies and agreements.		Legislators	E2	E2	E0	False	T1	0.0	0.5	1.0	0.25	E2
76	11-1031.00	15277.0	Prepare drafts of amendments, government policies, laws, rules, regulations, budgets, programs and procedures.		Legislators	E2	E2	E2	True	T2	0.0	0.5	1.0	0.5	E2
77	11-1031.00	15278.0	Read and review concerns of constituents or the general public and determine if governmental action is necessary.		Legislators	E1	E2	E2	False	T2	0.0	0.5	1.0	0.5	E1
78	11-1031.00	15279.0	Represent their parties in negotiations with political executives or members of other parties, and when speaking with the media.		Legislators	E0	E2	E0	False	T1	0.0	0.5	1.0	0.25	E0
79	11-1031.00	15280.0	Review bills in committee, and make recommendations about their future.		Legislators	E1	E2	E2	False	T1	0.0	0.5	1.0	0.25	E1
80	11-1031.00	15281.0	Seek federal funding for local projects and programs.		Legislators	E1	E2	E2	False	T1	0.0	0.5	1.0	0.25	E1
81	11-1031.00	15282.0	Serve on commissions, investigative panels, study groups, and committees in order to examine specialized areas and recommend action.		Legislators	E0	E2	E0	False	T1	0.0	0.5	1.0	0.25	E0
82	11-1031.00	15283.0	Vote on motions, amendments, and decisions on whether or not to report a bill out from committee to the assembly floor.		Legislators	E2	E0	E0	False	T0	0.0	0.0	0.0	0.0	E2
83	11-1031.00	15284.0	Write, prepare, and deliver statements for the Congressional Record.		Legislators	E2	E1	E1	True	T3	1.0	1.0	1.0	0.75	E2
84	11-1031.00	15285.0	Alert constituents of government actions and programs by way of newsletters, personal appearances at town meetings, phone calls, and individual meetings.		Legislators	E2	E2	E1	False	T1	0.0	0.5	1.0	0.25	E2
85	11-1031.00	15286.0	Attend receptions, dinners, and conferences to meet people, exchange views and information, and develop working relationships.		Legislators	E2	E0	E0	False	T0	0.0	0.0	0.0	0.0	E2
86	11-1031.00	15287.0	"Conduct ""head counts"" to help predict the outcome of upcoming votes."		Legislators	E2	E2	E2	False	T3	0.0	0.5	1.0	0.75	E2
87	11-1031.00	15288.0	Determine campaign strategies for media advertising, positions on issues, and public appearances.		Legislators	E2	E2	E2	True	T1	0.0	0.5	1.0	0.25	E2
88	11-1031.00	15289.0	Encourage and support party candidates for political office.		Legislators	E0	E2	E0	False	T1	0.0	0.5	1.0	0.25	E0
89	11-1031.00	15290.0	Establish personal offices in local districts or states, and manage office staff.		Legislators	E2	E2	E0	False	T1	0.0	0.5	1.0	0.25	E2
90	11-1031.00	15291.0	Evaluate the structure, efficiency, activities, and performance of government agencies.		Legislators	E2	E2	E2	False	T1	0.0	0.5	1.0	0.25	E2
91	11-1031.00	15292.0	Organize and maintain campaign organizations and fundraisers, in order to raise money for election or re-election.		Legislators	E1	E2	E2	False	T2	0.0	0.5	1.0	0.5	E1
92	11-1031.00	15293.0	Oversee expense allowances, ensuring that accounts are balanced at the end of each fiscal year.		Legislators	E2	E2	E2	False	T3	0.0	0.5	1.0	0.75	E2
93	11-1031.00	15294.0	Promote the industries and products of their electoral districts.		Legislators	E1	E2	E2	False	T1	0.0	0.5	1.0	0.25	E1
94	11-1031.00	15295.0	Represent their government at local, national, and international meetings and conferences.		Legislators	E0	E0	E0	False	T1	0.0	0.0	0.0	0.25	E0
95	11-1031.00	15296.0	Speak to students to encourage and support the development of future political leaders.		Legislators	E0	E0	E0	False	T1	0.0	0.0	0.0	0.25	E0
96	11-2011.00	3224.0	Plan and prepare advertising and promotional material to increase sales of products or services, working with customers, company officials, sales departments, and advertising agencies.	Core	Advertising and Promotions Managers	E1	E2	E1	False	T2	0.0	0.5	1.0	0.5	E1
97	11-2011.00	3226.0	Inspect layouts and advertising copy, and edit scripts, audio, video, and other promotional material for adherence to specifications.	Core	Advertising and Promotions Managers	E0	E2	E0	False	T3	0.0	0.5	1.0	0.75	E0
98	11-2011.00	3231.0	Confer with department heads or staff to discuss topics such as contracts, selection of advertising media, or product to be advertised.	Core	Advertising and Promotions Managers	E1	E2	E0	False	T1	0.0	0.5	1.0	0.25	E1
99	11-2011.00	3242.0	Coordinate with the media to disseminate advertising.	Core	Advertising and Promotions Managers	E2	E2	E0	False	T3	0.0	0.5	1.0	0.75	E2
100	11-2011.00	3227.0	Coordinate activities of departments, such as sales, graphic arts, media, finance, and research.	Core	Advertising and Promotions Managers	E2	E2	E0	False	T1	0.0	0.5	1.0	0.25	E2
101	11-2011.00	3238.0	Plan and execute advertising policies and strategies for organizations.	Core	Advertising and Promotions Managers	E1	E2	E0	False	T2	0.0	0.5	1.0	0.5	E1
102	11-2011.00	3237.0	Direct, motivate, and monitor the mobilization of a campaign team to advance campaign goals.	Core	Advertising and Promotions Managers	E0	E2	E0	False	T1	0.0	0.5	1.0	0.25	E0
103	11-2011.00	3223.0	Prepare budgets and submit estimates for program costs as part of campaign plan development.	Core	Advertising and Promotions Managers	E2	E2	E2	True	T2	0.0	0.5	1.0	0.5	E2
104	11-2011.00	3243.0	Contact organizations to explain services and facilities offered.	Core	Advertising and Promotions Managers	E1	E2	E1	False	T1	0.0	0.5	1.0	0.25	E1
105	11-2011.00	3233.0	Monitor and analyze sales promotion results to determine cost effectiveness of promotion campaigns.	Core	Advertising and Promotions Managers	E1	E2	E2	True	T3	0.0	0.5	1.0	0.75	E1
106	11-2011.00	3229.0	Identify and develop contacts for promotional campaigns and industry programs that meet identified buyer targets, such as dealers, distributors, or consumers.	Core	Advertising and Promotions Managers	E2	E2	E2	True	T2	0.0	0.5	1.0	0.5	E2
107	11-2011.00	3239.0	Track program budgets, expenses, and campaign response rates to evaluate each campaign, based on program objectives and industry norms.	Core	Advertising and Promotions Managers	E2	E2	E2	False	T3	0.0	0.5	1.0	0.75	E2
108	11-2011.00	3234.0	Read trade journals and professional literature to stay informed on trends, innovations, and changes that affect media planning.	Core	Advertising and Promotions Managers	E2	E2	E2	False	T3	0.0	0.5	1.0	0.75	E2
109	11-2011.00	18586.0	Manage sales team, including setting goals, providing incentives, and evaluating employee performance.	Supplemental	Advertising and Promotions Managers	E2	E2	E0	False	T1	0.0	0.5	1.0	0.25	E2
110	11-2011.00	3228.0	Prepare and negotiate advertising and sales contracts.	Supplemental	Advertising and Promotions Managers	E2	E2	E0	True	T2	0.0	0.5	1.0	0.5	E2
111	11-2011.00	3235.0	Formulate plans to extend business with established accounts and to transact business as agent for advertising accounts.	Supplemental	Advertising and Promotions Managers	E2	E2	E2	False	T2	0.0	0.5	1.0	0.5	E2
112	11-2011.00	3241.0	Train and direct workers engaged in developing and producing advertisements.	Supplemental	Advertising and Promotions Managers	E2	E2	E2	False	T1	0.0	0.5	1.0	0.25	E2
113	11-2011.00	3240.0	Assemble and communicate with a strong, diverse coalition of organizations or public figures, securing their cooperation, support, and action, to further campaign goals.	Supplemental	Advertising and Promotions Managers	E0	E2	E0	False	T1	0.0	0.5	1.0	0.25	E0
114	11-2011.00	3236.0	Provide presentation and product demonstration support during the introduction of new products and services to field staff and customers.	Supplemental	Advertising and Promotions Managers	E1	E2	E1	False	T2	0.0	0.5	1.0	0.5	E1
115	11-2011.00	3245.0	Represent company at trade association meetings to promote products.	Supplemental	Advertising and Promotions Managers	E0	E0	E0	False	T1	0.0	0.0	0.0	0.25	E0
116	11-2011.00	3244.0	Direct and coordinate product research and development.	Supplemental	Advertising and Promotions Managers	E2	E2	E2	False	T2	0.0	0.5	1.0	0.5	E2
117	11-2011.00	21217.0	Analyze marketing or sales trends to forecast future conditions.		Advertising and Promotions Managers	E2	E2	E2	True	T3	0.0	0.5	1.0	0.75	E2
118	11-2011.00	21218.0	Analyze the effectiveness of marketing tactics or channels.		Advertising and Promotions Managers	E2	E2	E0	True	T3	0.0	0.5	1.0	0.75	E2
119	11-2011.00	21219.0	Attend or participate in conferences, community events, and promotional events related to products or technologies.		Advertising and Promotions Managers	E0	E0	E0	False	T1	0.0	0.0	0.0	0.25	E0
120	11-2011.00	21220.0	Conduct research on consumer opinions and buying habits, and identify target audiences for products, services, or technologies.		Advertising and Promotions Managers	E2	E2	E2	False	T3	0.0	0.5	1.0	0.75	E2
121	11-2011.00	21221.0	Coordinate with marketing team members, graphic artists, and other workers to develop and implement marketing programs.		Advertising and Promotions Managers	E2	E2	E2	False	T1	0.0	0.5	1.0	0.25	E2
122	11-2011.00	21222.0	Develop communications materials, advertisements, presentations, or public relations initiatives to promote awareness of products and services.		Advertising and Promotions Managers	E2	E2	E1	True	T3	0.0	0.5	1.0	0.75	E2
123	11-2011.00	21223.0	Develop comprehensive marketing strategies, using knowledge of products and technologies, markets, and regulations.		Advertising and Promotions Managers	E2	E2	E2	False	T2	0.0	0.5	1.0	0.5	E2
124	11-2011.00	21224.0	Devise or evaluate methods and procedures for collecting data, such as surveys, opinion polls, and questionnaires.		Advertising and Promotions Managers	E2	E2	E0	True	T3	0.0	0.5	1.0	0.75	E2
125	11-2011.00	21225.0	Maintain portfolios of marketing campaigns, strategies, and other marketing products or ideas.		Advertising and Promotions Managers	E2	E2	E0	False	T3	0.0	0.5	1.0	0.75	E2
126	11-2021.00	951.0	Identify, develop, or evaluate marketing strategy, based on knowledge of establishment objectives, market characteristics, and cost and markup factors.	Core	Marketing Managers	E2	E2	E2	False	T2	0.0	0.5	1.0	0.5	E2
127	11-2021.00	20709.0	Formulate, direct, or coordinate marketing activities or policies to promote products or services, working with advertising or promotion managers.	Core	Marketing Managers	E2	E2	E2	True	T2	0.0	0.5	1.0	0.5	E2
128	11-2021.00	952.0	Evaluate the financial aspects of product development, such as budgets, expenditures, research and development appropriations, or return-on-investment and profit-loss projections.	Core	Marketing Managers	E2	E2	E2	False	T2	0.0	0.5	1.0	0.5	E2
129	11-2021.00	950.0	Develop pricing strategies, balancing firm objectives and customer satisfaction.	Core	Marketing Managers	E2	E2	E2	False	T2	0.0	0.5	1.0	0.5	E2
130	11-2021.00	957.0	Compile lists describing product or service offerings.	Core	Marketing Managers	E2	E1	E1	True	T3	1.0	1.0	1.0	0.75	E2
131	11-2021.00	954.0	Direct the hiring, training, or performance evaluations of marketing or sales staff and oversee their daily activities.	Core	Marketing Managers	E0	E0	E0	False	T1	0.0	0.0	0.0	0.25	E0
132	11-2021.00	956.0	Consult with product development personnel on product specifications, such as design, color, or packaging.	Core	Marketing Managers	E1	E2	E2	False	T1	0.0	0.5	1.0	0.25	E1
133	11-2021.00	958.0	Use sales forecasting or strategic planning to ensure the sale and profitability of products, lines, or services, analyzing business developments and monitoring market trends.	Core	Marketing Managers	E2	E2	E2	False	T2	0.0	0.5	1.0	0.5	E2
134	11-2021.00	955.0	Negotiate contracts with vendors or distributors to manage product distribution, establishing distribution networks or developing distribution strategies.	Core	Marketing Managers	E2	E2	E1	False	T1	0.0	0.5	1.0	0.25	E2
135	11-2021.00	961.0	Coordinate or participate in promotional activities or trade shows, working with developers, advertisers, or production managers, to market products or services.	Core	Marketing Managers	E2	E2	E0	False	T1	0.0	0.5	1.0	0.25	E2
136	11-2021.00	963.0	Initiate market research studies, or analyze their findings.	Core	Marketing Managers	E2	E2	E2	False	T2	0.0	0.5	1.0	0.5	E2
137	11-2021.00	960.0	Confer with legal staff to resolve problems, such as copyright infringement or royalty sharing with outside producers or distributors.	Core	Marketing Managers	E1	E2	E2	False	T1	0.0	0.5	1.0	0.25	E1
138	11-2021.00	964.0	Consult with buying personnel to gain advice regarding the types of products or services expected to be in demand.	Supplemental	Marketing Managers	E1	E2	E2	False	T1	0.0	0.5	1.0	0.25	E1
139	11-2021.00	19502.0	Consult with buying personnel to gain advice regarding environmentally sound or sustainable products.	Supplemental	Marketing Managers	E1	E2	E2	False	T1	0.0	0.5	1.0	0.25	E1
140	11-2021.00	965.0	Conduct economic or commercial surveys to identify potential markets for products or services.	Supplemental	Marketing Managers	E2	E2	E2	False	T3	0.0	0.5	1.0	0.75	E2
141	11-2021.00	19505.0	Recommend modifications to products, packaging, production processes, or other characteristics to improve the environmental soundness or sustainability of products.	Supplemental	Marketing Managers	E1	E2	E2	False	T2	0.0	0.5	1.0	0.5	E1
142	11-2021.00	962.0	Advise business or other groups on local, national, or international factors affecting the buying or selling of products or services.	Supplemental	Marketing Managers	E2	E2	E2	False	T2	0.0	0.5	1.0	0.5	E2
143	11-2021.00	959.0	Select products or accessories to be displayed at trade or special production shows.	Supplemental	Marketing Managers	E2	E2	E2	False	T1	0.0	0.5	1.0	0.25	E2
144	11-2021.00	19503.0	Develop business cases for environmental marketing strategies.	Supplemental	Marketing Managers	E2	E2	E2	False	T2	0.0	0.5	1.0	0.5	E2
145	11-2021.00	19504.0	Integrate environmental information into product or company marketing strategies, policies, or activities.	Supplemental	Marketing Managers	E2	E2	E2	False	T2	0.0	0.5	1.0	0.5	E2
146	11-2022.00	3.0	Direct and coordinate activities involving sales of manufactured products, services, commodities, real estate, or other subjects of sale.	Core	Sales Managers	E2	E2	E2	False	T1	0.0	0.5	1.0	0.25	E2
147	11-2022.00	1.0	Resolve customer complaints regarding sales and service.	Core	Sales Managers	E1	E2	E0	False	T2	0.0	0.5	1.0	0.5	E1
148	11-2022.00	5.0	Review operational records and reports to project sales and determine profitability.	Core	Sales Managers	E2	E2	E2	False	T3	0.0	0.5	1.0	0.75	E2
149	11-2022.00	14.0	Oversee regional and local sales managers and their staffs.	Core	Sales Managers	E2	E2	E0	False	T1	0.0	0.5	1.0	0.25	E2
150	11-2022.00	4.0	Determine price schedules and discount rates.	Core	Sales Managers	E2	E2	E2	False	T3	0.0	0.5	1.0	0.75	E2
151	11-2022.00	9.0	Prepare budgets and approve budget expenditures.	Core	Sales Managers	E2	E2	E2	False	T2	0.0	0.5	1.0	0.5	E2
152	11-2022.00	2.0	Monitor customer preferences to determine focus of sales efforts.	Core	Sales Managers	E2	E2	E2	False	T2	0.0	0.5	1.0	0.5	E2
